period,lat,lon,parking
15,37.5031215,126.9200975,0
16,37.518672,126.940256,13.5
17,37.518672,126.940256,13
18,37.518672,126.940256,12.5
19,37.518672,126.940256,12
20,37.518672,126.940256,11.5
21,37.518672,126.940256,11
22,37.518672,126.940256,10.5
23,37.518672,126.940256,10
24,37.518672,126.940256,9.5
25,37.518672,126.940256,9
26,37.518672,126.940256,8.5
27,37.518672,126.940256,8
28,37.518672,126.940256,7.5
29,37.518672,126.940256,7
30,37.518672,126.940256,6.5
31,37.518672,126.940256,6
32,37.518672,126.940256,5.5
33,37.518672,126.940256,5
34,37.518672,126.940256,4.5
35,37.518672,126.940256,4
36,37.518672,126.940256,3.5
37,37.518672,126.940256,3
38,37.518672,126.940256,2.5
39,37.518672,126.940256,2
40,37.518672,126.940256,1.5
41,37.518672,126.940256,1
42,37.518672,126.9200275,0.5
43,37.518672,126.899899,0
44,37.5035215,126.899899,0
45,37.486471,126.899899,8.5
46,37.486471,126.899899,8
47,37.486471,126.899899,7.5
48,37.486471,126.899899,7
1,37.486471,126.899899,6.5
2,37.486471,126.899899,6
3,37.486471,126.899899,5.5
4,37.486471,126.899899,5
5,37.486471,126.899899,4.5
6,37.486471,126.899899,4
7,37.486471,126.899899,3.5
8,37.486471,126.899899,3
9,37.486471,126.899899,2.5
10,37.486471,126.899899,2
11,37.486471,126.899899,1.5
12,37.486471,126.899899,1
13,37.486471,126.899899,0.5
14,37.486471,126.899899,0
15,37.5024215,126.9201175,0
16,37.519872,126.940176,1
17,37.519872,126.940176,0.5
18,37.519872,126.940176,0
19,37.516706,126.917488,0
20,37.519872,126.940176,11
21,37.519872,126.940176,10.5
22,37.519872,126.940176,10
23,37.519872,126.940176,9.5
24,37.519872,126.940176,9
25,37.519872,126.940176,8.5
26,37.519872,126.940176,8
27,37.519872,126.940176,7.5
28,37.519872,126.940176,7
29,37.519872,126.940176,6.5
30,37.519872,126.940176,6
31,37.519872,126.940176,5.5
32,37.519872,126.940176,5
33,37.519872,126.940176,4.5
34,37.519872,126.940176,4
35,37.519872,126.940176,3.5
36,37.519872,126.940176,3
37,37.519872,126.940176,2.5
38,37.519872,126.940176,2
39,37.519872,126.940176,1.5
40,37.519872,126.940176,1
41,37.519872,126.940176,0.5
42,37.519872,126.9200475,0
43,37.515288,126.910475,0
44,37.5042215,126.899819,0
45,37.487371,126.899819,2.5
46,37.487371,126.899819,2
47,37.487371,126.899819,1.5
48,37.487371,126.899819,1
1,37.487371,126.899819,0.5
2,37.487371,126.899819,0
3,37.513063,126.926114,0
4,37.505949,126.910622,0
5,37.487371,126.899819,4.5
6,37.487371,126.899819,4
7,37.487371,126.899819,3.5
8,37.487371,126.899819,3
9,37.487371,126.899819,2.5
10,37.487371,126.899819,2
11,37.487371,126.899819,1.5
12,37.487371,126.899819,1
13,37.487371,126.899819,0.5
14,37.487371,126.899819,0
15,37.5028215,126.9200975,0
16,37.518272,126.940156,13.5
17,37.518272,126.940156,13
18,37.518272,126.940156,12.5
19,37.518272,126.940156,12
20,37.518272,126.940156,11.5
21,37.518272,126.940156,11
22,37.518272,126.940156,10.5
23,37.518272,126.940156,10
24,37.518272,126.940156,9.5
25,37.518272,126.940156,9
26,37.518272,126.940156,8.5
27,37.518272,126.940156,8
28,37.518272,126.940156,7.5
29,37.518272,126.940156,7
30,37.518272,126.940156,6.5
31,37.518272,126.940156,6
32,37.518272,126.940156,5.5
33,37.518272,126.940156,5
34,37.518272,126.940156,4.5
35,37.518272,126.940156,4
36,37.518272,126.940156,3.5
37,37.518272,126.940156,3
38,37.518272,126.940156,2.5
39,37.518272,126.940156,2
40,37.518272,126.940156,1.5
41,37.518272,126.940156,1
42,37.518272,126.9199775,0.5
43,37.518272,126.899879,0
44,37.5037215,126.899879,0
45,37.487271,126.899879,8.5
46,37.487271,126.899879,8
47,37.487271,126.899879,7.5
48,37.487271,126.899879,7
1,37.487271,126.899879,6.5
2,37.487271,126.899879,6
3,37.487271,126.899879,5.5
4,37.487271,126.899879,5
5,37.487271,126.899879,4.5
6,37.487271,126.899879,4
7,37.487271,126.899879,3.5
8,37.487271,126.899879,3
9,37.487271,126.899879,2.5
10,37.487271,126.899879,2
11,37.487271,126.899879,1.5
12,37.487271,126.899879,1
13,37.487271,126.899879,0.5
14,37.487271,126.899879,0
15,37.5025215,126.9201075,0
16,37.518772,126.940136,13.5
17,37.518772,126.940136,13
18,37.518772,126.940136,12.5
19,37.518772,126.940136,12
20,37.518772,126.940136,11.5
21,37.518772,126.940136,11
22,37.518772,126.940136,10.5
23,37.518772,126.940136,10
24,37.518772,126.940136,9.5
25,37.518772,126.940136,9
26,37.518772,126.940136,8.5
27,37.518772,126.940136,8
28,37.518772,126.940136,7.5
29,37.518772,126.940136,7
30,37.518772,126.940136,6.5
31,37.518772,126.940136,6
32,37.518772,126.940136,5.5
33,37.518772,126.940136,5
34,37.518772,126.940136,4.5
35,37.518772,126.940136,4
36,37.518772,126.940136,3.5
37,37.518772,126.940136,3
38,37.518772,126.940136,2.5
39,37.518772,126.940136,2
40,37.518772,126.940136,1.5
41,37.518772,126.940136,1
42,37.518772,126.9200275,0.5
43,37.518772,126.899849,0
44,37.5032215,126.899849,0
45,37.486471,126.899849,8.5
46,37.486471,126.899849,8
47,37.486471,126.899849,7.5
48,37.486471,126.899849,7
1,37.486471,126.899849,6.5
2,37.486471,126.899849,6
3,37.486471,126.899849,5.5
4,37.486471,126.899849,5
5,37.486471,126.899849,4.5
6,37.486471,126.899849,4
7,37.486471,126.899849,3.5
8,37.486471,126.899849,3
9,37.486471,126.899849,2.5
10,37.486471,126.899849,2
11,37.486471,126.899849,1.5
12,37.486471,126.899849,1
13,37.486471,126.899849,0.5
14,37.486471,126.899849,0
15,37.5038215,126.9199675,0
16,37.518672,126.940246,13.5
17,37.518672,126.940246,13
18,37.518672,126.940246,12.5
19,37.518672,126.940246,12
20,37.518672,126.940246,11.5
21,37.518672,126.940246,11
22,37.518672,126.940246,10.5
23,37.518672,126.940246,10
24,37.518672,126.940246,9.5
25,37.518672,126.940246,9
26,37.518672,126.940246,8.5
27,37.518672,126.940246,8
28,37.518672,126.940246,7.5
29,37.518672,126.940246,7
30,37.518672,126.940246,6.5
31,37.518672,126.940246,6
32,37.518672,126.940246,5.5
33,37.518672,126.940246,5
34,37.518672,126.940246,4.5
35,37.518672,126.940246,4
36,37.518672,126.940246,3.5
37,37.518672,126.940246,3
38,37.518672,126.940246,2.5
39,37.518672,126.940246,2
40,37.518672,126.940246,1.5
41,37.518672,126.940246,1
42,37.518672,126.9201175,0.5
43,37.518672,126.899889,0
44,37.5027215,126.899889,0
45,37.488171,126.899889,5
46,37.488171,126.899889,4.5
47,37.488171,126.899889,4
48,37.488171,126.899889,3.5
1,37.488171,126.899889,3
2,37.488171,126.899889,2.5
3,37.488171,126.899889,2
4,37.488171,126.899889,1.5
5,37.488171,126.899889,1
6,37.488171,126.899889,0.5
7,37.488171,126.899889,0
8,37.49985,126.898155,0
9,37.488171,126.899889,2.5
10,37.488171,126.899889,2
11,37.488171,126.899889,1.5
12,37.488171,126.899889,1
13,37.488171,126.899889,0.5
14,37.488171,126.899889,0
15,37.5025215,126.9200675,0
16,37.519172,126.940086,13.5
17,37.519172,126.940086,13
18,37.519172,126.940086,12.5
19,37.519172,126.940086,12
20,37.519172,126.940086,11.5
21,37.519172,126.940086,11
22,37.519172,126.940086,10.5
23,37.519172,126.940086,10
24,37.519172,126.940086,9.5
25,37.519172,126.940086,9
26,37.519172,126.940086,8.5
27,37.519172,126.940086,8
28,37.519172,126.940086,7.5
29,37.519172,126.940086,7
30,37.519172,126.940086,6.5
31,37.519172,126.940086,6
32,37.519172,126.940086,5.5
33,37.519172,126.940086,5
34,37.519172,126.940086,4.5
35,37.519172,126.940086,4
36,37.519172,126.940086,3.5
37,37.519172,126.940086,3
38,37.519172,126.940086,2.5
39,37.519172,126.940086,2
40,37.519172,126.940086,1.5
41,37.519172,126.940086,1
42,37.519172,126.9199775,0.5
43,37.519172,126.899919,0
44,37.5030215,126.899919,0
45,37.486871,126.899919,8.5
46,37.486871,126.899919,8
47,37.486871,126.899919,7.5
48,37.486871,126.899919,7
1,37.486871,126.899919,6.5
2,37.486871,126.899919,6
3,37.486871,126.899919,5.5
4,37.486871,126.899919,5
5,37.486871,126.899919,4.5
6,37.486871,126.899919,4
7,37.486871,126.899919,3.5
8,37.486871,126.899919,3
9,37.486871,126.899919,2.5
10,37.486871,126.899919,2
11,37.486871,126.899919,1.5
12,37.486871,126.899919,1
13,37.486871,126.899919,0.5
14,37.486871,126.899919,0
15,37.5024215,126.9199475,0
16,37.519672,126.940086,11
17,37.519672,126.940086,10.5
18,37.519672,126.940086,10
19,37.519672,126.940086,9.5
20,37.519672,126.940086,9
21,37.519672,126.940086,8.5
22,37.519672,126.940086,8
23,37.519672,126.940086,7.5
24,37.519672,126.940086,7
25,37.519672,126.940086,6.5
26,37.519672,126.940086,6
27,37.519672,126.940086,5.5
28,37.519672,126.940086,5
29,37.519672,126.940086,4.5
30,37.519672,126.940086,4
31,37.519672,126.940086,3.5
32,37.519672,126.940086,3
33,37.519672,126.940086,2.5
34,37.519672,126.940086,2
35,37.519672,126.940086,1.5
36,37.519672,126.940086,1
37,37.519672,126.940086,0.5
38,37.519672,126.940086,0
39,37.521403,126.924398,0
40,37.519672,126.940086,1.5
41,37.519672,126.940086,1
42,37.519672,126.9199275,0.5
43,37.519672,126.899789,0
44,37.5024215,126.899789,0
45,37.487471,126.899789,4
46,37.487471,126.899789,3.5
47,37.487471,126.899789,3
48,37.487471,126.899789,2.5
1,37.487471,126.899789,2
2,37.487471,126.899789,1.5
3,37.487471,126.899789,1
4,37.487471,126.899789,0.5
5,37.487471,126.899789,0
6,37.487865,126.90058,0
7,37.500165,126.909248,0
8,37.487471,126.899789,3
9,37.487471,126.899789,2.5
10,37.487471,126.899789,2
11,37.487471,126.899789,1.5
12,37.487471,126.899789,1
13,37.487471,126.899789,0.5
14,37.487471,126.899789,0
15,37.5037215,126.9199775,0
16,37.518972,126.940166,13.5
17,37.518972,126.940166,13
18,37.518972,126.940166,12.5
19,37.518972,126.940166,12
20,37.518972,126.940166,11.5
21,37.518972,126.940166,11
22,37.518972,126.940166,10.5
23,37.518972,126.940166,10
24,37.518972,126.940166,9.5
25,37.518972,126.940166,9
26,37.518972,126.940166,8.5
27,37.518972,126.940166,8
28,37.518972,126.940166,7.5
29,37.518972,126.940166,7
30,37.518972,126.940166,6.5
31,37.518972,126.940166,6
32,37.518972,126.940166,5.5
33,37.518972,126.940166,5
34,37.518972,126.940166,4.5
35,37.518972,126.940166,4
36,37.518972,126.940166,3.5
37,37.518972,126.940166,3
38,37.518972,126.940166,2.5
39,37.518972,126.940166,2
40,37.518972,126.940166,1.5
41,37.518972,126.940166,1
42,37.518972,126.9200275,0.5
43,37.518972,126.899909,0
44,37.5042215,126.899909,0
45,37.488171,126.899909,8.5
46,37.488171,126.899909,8
47,37.488171,126.899909,7.5
48,37.488171,126.899909,7
1,37.488171,126.899909,6.5
2,37.488171,126.899909,6
3,37.488171,126.899909,5.5
4,37.488171,126.899909,5
5,37.488171,126.899909,4.5
6,37.488171,126.899909,4
7,37.488171,126.899909,3.5
8,37.488171,126.899909,3
9,37.488171,126.899909,2.5
10,37.488171,126.899909,2
11,37.488171,126.899909,1.5
12,37.488171,126.899909,1
13,37.488171,126.899909,0.5
14,37.488171,126.899909,0
15,37.5032215,126.9200775,0
16,37.518272,126.940236,13.5
17,37.518272,126.940236,13
18,37.518272,126.940236,12.5
19,37.518272,126.940236,12
20,37.518272,126.940236,11.5
21,37.518272,126.940236,11
22,37.518272,126.940236,10.5
23,37.518272,126.940236,10
24,37.518272,126.940236,9.5
25,37.518272,126.940236,9
26,37.518272,126.940236,8.5
27,37.518272,126.940236,8
28,37.518272,126.940236,7.5
29,37.518272,126.940236,7
30,37.518272,126.940236,6.5
31,37.518272,126.940236,6
32,37.518272,126.940236,5.5
33,37.518272,126.940236,5
34,37.518272,126.940236,4.5
35,37.518272,126.940236,4
36,37.518272,126.940236,3.5
37,37.518272,126.940236,3
38,37.518272,126.940236,2.5
39,37.518272,126.940236,2
40,37.518272,126.940236,1.5
41,37.518272,126.940236,1
42,37.518272,126.9200775,0.5
43,37.518272,126.899849,0
44,37.5024215,126.899849,0
45,37.486571,126.899849,5
46,37.486571,126.899849,4.5
47,37.486571,126.899849,4
48,37.486571,126.899849,3.5
1,37.486571,126.899849,3
2,37.486571,126.899849,2.5
3,37.486571,126.899849,2
4,37.486571,126.899849,1.5
5,37.486571,126.899849,1
6,37.486571,126.899849,0.5
7,37.486571,126.899849,0
8,37.518646,126.903712,0
9,37.486571,126.899849,2.5
10,37.486571,126.899849,2
11,37.486571,126.899849,1.5
12,37.486571,126.899849,1
13,37.486571,126.899849,0.5
14,37.486571,126.899849,0
15,37.524092,126.895859,0
16,37.518472,126.940076,13.5
17,37.518472,126.940076,13
18,37.518472,126.940076,12.5
19,37.518472,126.940076,12
20,37.518472,126.940076,11.5
21,37.518472,126.940076,11
22,37.518472,126.940076,10.5
23,37.518472,126.940076,10
24,37.518472,126.940076,9.5
25,37.518472,126.940076,9
26,37.518472,126.940076,8.5
27,37.518472,126.940076,8
28,37.518472,126.940076,7.5
29,37.518472,126.940076,7
30,37.518472,126.940076,6.5
31,37.518472,126.940076,6
32,37.518472,126.940076,5.5
33,37.518472,126.940076,5
34,37.518472,126.940076,4.5
35,37.518472,126.940076,4
36,37.518472,126.940076,3.5
37,37.518472,126.940076,3
38,37.518472,126.940076,2.5
39,37.518472,126.940076,2
40,37.518472,126.940076,1.5
41,37.518472,126.940076,1
42,37.518472,126.9200575,0.5
43,37.518472,126.899899,0
44,37.5034215,126.899899,0
45,37.488071,126.899899,8.5
46,37.488071,126.899899,8
47,37.488071,126.899899,7.5
48,37.488071,126.899899,7
1,37.488071,126.899899,6.5
2,37.488071,126.899899,6
3,37.488071,126.899899,5.5
4,37.488071,126.899899,5
5,37.488071,126.899899,4.5
6,37.488071,126.899899,4
7,37.488071,126.899899,3.5
8,37.488071,126.899899,3
9,37.488071,126.899899,2.5
10,37.488071,126.899899,2
11,37.488071,126.899899,1.5
12,37.488071,126.899899,1
13,37.488071,126.899899,0.5
14,37.488071,126.899899,0
15,37.5022215,126.9199875,0
16,37.517352,126.927574,0
17,37.518972,126.940226,6.5
18,37.518972,126.940226,6
19,37.518972,126.940226,5.5
20,37.518972,126.940226,5
21,37.518972,126.940226,4.5
22,37.518972,126.940226,4
23,37.518972,126.940226,3.5
24,37.518972,126.940226,3
25,37.518972,126.940226,2.5
26,37.518972,126.940226,2
27,37.518972,126.940226,1.5
28,37.518972,126.940226,1
29,37.518972,126.940226,0.5
30,37.518972,126.940226,0
31,37.505225,126.921952,0
32,37.518972,126.940226,5.5
33,37.518972,126.940226,5
34,37.518972,126.940226,4.5
35,37.518972,126.940226,4
36,37.518972,126.940226,3.5
37,37.518972,126.940226,3
38,37.518972,126.940226,2.5
39,37.518972,126.940226,2
40,37.518972,126.940226,1.5
41,37.518972,126.940226,1
42,37.518972,126.9200875,0.5
43,37.518972,126.899809,0
44,37.5023215,126.899809,0
45,37.487971,126.899809,8
46,37.487971,126.899809,7.5
47,37.487971,126.899809,7
48,37.487971,126.899809,6.5
1,37.487971,126.899809,6
2,37.487971,126.899809,5.5
3,37.487971,126.899809,5
4,37.487971,126.899809,4.5
5,37.487971,126.899809,4
6,37.487971,126.899809,3.5
7,37.487971,126.899809,3
8,37.487971,126.899809,2.5
9,37.487971,126.899809,2
10,37.487971,126.899809,1.5
11,37.487971,126.899809,1
12,37.487971,126.899809,0.5
13,37.487971,126.899809,0
14,37.505225,126.921952,0
15,37.500165,126.909248,0
16,37.519272,126.940266,13.5
17,37.519272,126.940266,13
18,37.519272,126.940266,12.5
19,37.519272,126.940266,12
20,37.519272,126.940266,11.5
21,37.519272,126.940266,11
22,37.519272,126.940266,10.5
23,37.519272,126.940266,10
24,37.519272,126.940266,9.5
25,37.519272,126.940266,9
26,37.519272,126.940266,8.5
27,37.519272,126.940266,8
28,37.519272,126.940266,7.5
29,37.519272,126.940266,7
30,37.519272,126.940266,6.5
31,37.519272,126.940266,6
32,37.519272,126.940266,5.5
33,37.519272,126.940266,5
34,37.519272,126.940266,4.5
35,37.519272,126.940266,4
36,37.519272,126.940266,3.5
37,37.519272,126.940266,3
38,37.519272,126.940266,2.5
39,37.519272,126.940266,2
40,37.519272,126.940266,1.5
41,37.519272,126.940266,1
42,37.519272,126.9199875,0.5
43,37.519272,126.899819,0
44,37.5035215,126.899819,0
45,37.487771,126.899819,8.5
46,37.487771,126.899819,8
47,37.487771,126.899819,7.5
48,37.487771,126.899819,7
1,37.487771,126.899819,6.5
2,37.487771,126.899819,6
3,37.487771,126.899819,5.5
4,37.487771,126.899819,5
5,37.487771,126.899819,4.5
6,37.487771,126.899819,4
7,37.487771,126.899819,3.5
8,37.487771,126.899819,3
9,37.487771,126.899819,2.5
10,37.487771,126.899819,2
11,37.487771,126.899819,1.5
12,37.487771,126.899819,1
13,37.487771,126.899819,0.5
14,37.487771,126.899819,0
15,37.5025215,126.9199375,0
16,37.518372,126.940086,13.5
17,37.518372,126.940086,13
18,37.518372,126.940086,12.5
19,37.518372,126.940086,12
20,37.518372,126.940086,11.5
21,37.518372,126.940086,11
22,37.518372,126.940086,10.5
23,37.518372,126.940086,10
24,37.518372,126.940086,9.5
25,37.518372,126.940086,9
26,37.518372,126.940086,8.5
27,37.518372,126.940086,8
28,37.518372,126.940086,7.5
29,37.518372,126.940086,7
30,37.518372,126.940086,6.5
31,37.518372,126.940086,6
32,37.518372,126.940086,5.5
33,37.518372,126.940086,5
34,37.518372,126.940086,4.5
35,37.518372,126.940086,4
36,37.518372,126.940086,3.5
37,37.518372,126.940086,3
38,37.518372,126.940086,2.5
39,37.518372,126.940086,2
40,37.518372,126.940086,1.5
41,37.518372,126.940086,1
42,37.518372,126.9199575,0.5
43,37.518372,126.899859,0
44,37.5032215,126.899859,0
45,37.487171,126.899859,8.5
46,37.487171,126.899859,8
47,37.487171,126.899859,7.5
48,37.487171,126.899859,7
1,37.487171,126.899859,6.5
2,37.487171,126.899859,6
3,37.487171,126.899859,5.5
4,37.487171,126.899859,5
5,37.487171,126.899859,4.5
6,37.487171,126.899859,4
7,37.487171,126.899859,3.5
8,37.487171,126.899859,3
9,37.487171,126.899859,2.5
10,37.487171,126.899859,2
11,37.487171,126.899859,1.5
12,37.487171,126.899859,1
13,37.487171,126.899859,0.5
14,37.487171,126.899859,0
15,37.5027215,126.9200075,0
16,37.518372,126.940216,13.5
17,37.518372,126.940216,13
18,37.518372,126.940216,12.5
19,37.518372,126.940216,12
20,37.518372,126.940216,11.5
21,37.518372,126.940216,11
