period,lat,lon,parking,d
16,37.52553,126.904001,0,
17,37.53135,126.914901,9.5,
18,37.53135,126.914901,9,
19,37.53135,126.914901,8.5,
20,37.53135,126.914901,8,
21,37.53135,126.914901,7.5,
22,37.53135,126.914901,7,
23,37.53135,126.914901,6.5,
24,37.53135,126.914901,6,
25,37.53135,126.914901,5.5,
26,37.53135,126.914901,5,
27,37.53135,126.914901,4.5,
28,37.53135,126.914901,4,
29,37.53135,126.914901,3.5,
30,37.53135,126.914901,3,
31,37.53135,126.914901,2.5,
32,37.53135,126.914901,2,
33,37.53135,126.914901,1.5,
34,37.53135,126.914901,1,
35,37.53135,126.914901,0.5,
36,37.53135,126.914901,0,
37,37.52653,126.914901,0,
38,37.52101,126.914901,12.5,
39,37.52101,126.914901,12,
40,37.52101,126.904111,11.5,
41,37.52101,126.893171,11,
42,37.52101,126.893171,10.5,
43,37.52101,126.893171,10,
44,37.52101,126.893171,9.5,
45,37.52101,126.893171,9,
46,37.52101,126.893171,8.5,
47,37.52101,126.893171,8,
48,37.52101,126.893171,7.5,
1,37.52101,126.893171,7,
2,37.52101,126.893171,6.5,
3,37.52101,126.893171,6,
4,37.52101,126.893171,5.5,
5,37.52101,126.893171,5,
6,37.52101,126.893171,4.5,
7,37.52101,126.893171,4,
8,37.52101,126.893171,3.5,
9,37.52101,126.893171,3,
10,37.52101,126.893171,2.5,
11,37.52101,126.893171,2,
12,37.52101,126.893171,1.5,
13,37.52101,126.893171,1,
14,37.52101,126.893171,0.5,
15,37.52101,126.893171,0,
16,37.52663,126.903941,0,
17,37.53095,126.914921,5.5,
18,37.53095,126.914921,5,
19,37.53095,126.914921,4.5,
20,37.53095,126.914921,4,
21,37.53095,126.914921,3.5,
22,37.53095,126.914921,3,
23,37.53095,126.914921,2.5,
24,37.53095,126.914921,2,
25,37.53095,126.914921,1.5,
26,37.53095,126.914921,1,
27,37.53095,126.914921,0.5,
28,37.53095,126.914921,0,
29,37.515144,126.90706,0,
30,37.53095,126.914921,3,
31,37.53095,126.914921,2.5,
32,37.53095,126.914921,2,
33,37.53095,126.914921,1.5,
34,37.53095,126.914921,1,
35,37.53095,126.914921,0.5,
36,37.53095,126.914921,0,
37,37.52593,126.914921,0,
38,37.52191,126.914921,9.5,
39,37.52191,126.914921,9,
40,37.52191,126.904001,8.5,
41,37.52191,126.893171,8,
42,37.52191,126.893171,7.5,
43,37.52191,126.893171,7,
44,37.52191,126.893171,6.5,
45,37.52191,126.893171,6,
46,37.52191,126.893171,5.5,
47,37.52191,126.893171,5,
48,37.52191,126.893171,4.5,
1,37.52191,126.893171,4,
2,37.52191,126.893171,3.5,
3,37.52191,126.893171,3,
4,37.52191,126.893171,2.5,
5,37.52191,126.893171,2,
6,37.52191,126.893171,1.5,
7,37.52191,126.893171,1,
8,37.52191,126.893171,0.5,
9,37.52191,126.893171,0,
10,37.487865,126.90058,0,
11,37.504991,126.897275,0,
12,37.52191,126.893171,0.5,
13,37.52191,126.893171,0,
14,37.515144,126.90706,0,
15,37.528993,126.916888,0,
16,37.52703,126.904051,0,
17,37.53165,126.914951,1,
18,37.53165,126.914951,0.5,
19,37.53165,126.914951,0,
20,37.49985,126.898155,0,
21,37.53165,126.914951,7.5,
22,37.53165,126.914951,7,
23,37.53165,126.914951,6.5,
24,37.53165,126.914951,6,
25,37.53165,126.914951,5.5,
26,37.53165,126.914951,5,
27,37.53165,126.914951,4.5,
28,37.53165,126.914951,4,
29,37.53165,126.914951,3.5,
30,37.53165,126.914951,3,
31,37.53165,126.914951,2.5,
32,37.53165,126.914951,2,
33,37.53165,126.914951,1.5,
34,37.53165,126.914951,1,
35,37.53165,126.914951,0.5,
36,37.53165,126.914951,0,
37,37.52553,126.914951,0,
38,37.52181,126.914951,10.5,
39,37.52181,126.914951,10,
40,37.52181,126.903961,9.5,
41,37.52181,126.893221,9,
42,37.52181,126.893221,8.5,
43,37.52181,126.893221,8,
44,37.52181,126.893221,7.5,
45,37.52181,126.893221,7,
