"time","period","lat","lon","parking"
2016-04-03 19:00:01,38,-0.000314590000002113,-0.00314509999999757,0
2016-04-03 19:30:01,39,0,0,17
2016-04-03 20:00:01,40,0,0,16.5
2016-04-03 20:30:01,41,0,0,16
2016-04-03 21:00:01,42,0,0,15.5
2016-04-03 21:30:01,43,0,0,15
2016-04-03 22:00:01,44,0,0,14.5
2016-04-03 22:30:01,45,0,0,14
2016-04-03 23:00:01,46,0,0,13.5
2016-04-03 23:30:01,47,0,0,13
2016-04-04 00:00:01,0,0,0,12.5
2016-04-04 00:30:01,1,0,0,12
2016-04-04 01:00:01,2,0,0,11.5
2016-04-04 01:30:01,3,0,0,11
2016-04-04 02:00:01,4,0,0,10.5
2016-04-04 02:30:01,5,0,0,10
2016-04-04 03:00:01,6,0,0,9.5
2016-04-04 03:30:01,7,0,0,9
2016-04-04 04:00:01,8,0,0,8.5
2016-04-04 04:30:01,9,0,0,8
2016-04-04 05:00:01,10,0,0,7.5
2016-04-04 05:30:01,11,0,0,7
2016-04-04 06:00:01,12,0,0,6.5
2016-04-04 06:30:01,13,0,0,6
2016-04-04 07:00:01,14,0,0,5.5
2016-04-04 07:30:01,15,0,0,5
2016-04-04 08:00:01,16,0,0,4.5
2016-04-04 08:30:01,17,0,0,4
2016-04-04 09:00:01,18,0,0,3.5
2016-04-04 09:30:01,19,0,0,3
2016-04-04 10:00:01,20,0,0,2.5
2016-04-04 10:30:01,21,0,0,2
2016-04-04 11:00:01,22,0,0,1.5
2016-04-04 11:30:01,23,0,0,1
2016-04-04 12:00:01,24,0,0,0.5
2016-04-04 12:30:01,25,0,0,0
2016-04-04 13:00:01,26,1.75699999971357e-05,1.69999999855008e-06,0
