"time","period","lat","lon","parking"
2016-04-22 15:30:01,31,-9.72200000006751e-05,0.000136099999991757,0
2016-04-22 16:00:01,32,0,0,0
2016-04-22 16:30:01,33,-0.000248289999994711,0.000720999999998639,0
2016-04-22 17:00:01,34,0,0,3
2016-04-22 17:30:01,35,0,0,2.5
2016-04-22 18:00:01,36,0,0,2
2016-04-22 18:30:01,37,0,0,1.5
2016-04-22 19:00:01,38,0,0,1
2016-04-22 19:30:01,39,0,0,0.5
2016-04-22 20:00:01,40,0,0,0
2016-04-22 20:30:01,41,0.000374900000004175,-2.33000000093853e-05,0
2016-04-22 21:00:01,42,0,0,0
2016-04-22 21:30:01,43,0.00188933999999818,5.69999999981974e-05,0
2016-04-22 22:00:01,44,0,0,13
2016-04-22 22:30:01,45,0,0,12.5
2016-04-22 23:00:01,46,0,0,12
2016-04-22 23:30:01,47,0,0,11.5
2016-04-23 00:00:01,0,0,0,11
2016-04-23 00:30:01,1,0,0,10.5
2016-04-23 01:00:01,2,0,0,10
2016-04-23 01:30:01,3,0,0,9.5
2016-04-23 02:00:01,4,0,0,9
2016-04-23 02:30:01,5,0,0,8.5
2016-04-23 03:00:01,6,0,0,8
2016-04-23 03:30:01,7,0,0,7.5
2016-04-23 04:00:01,8,0,0,7
2016-04-23 04:30:01,9,0,0,6.5
2016-04-23 05:00:01,10,0,0,6
2016-04-23 05:30:01,11,0,0,5.5
2016-04-23 06:00:01,12,0,0,5
2016-04-23 06:30:01,13,0,0,4.5
2016-04-23 07:00:01,14,0,0,4
2016-04-23 07:30:01,15,0,0,3.5
2016-04-23 08:00:01,16,0,0,3
2016-04-23 08:30:01,17,0,0,2.5
2016-04-23 09:00:01,18,0,0,2
2016-04-23 09:30:01,19,0,0,1.5
2016-04-23 10:00:01,20,0,0,1
2016-04-23 10:30:01,21,0,0,0.5
2016-04-23 11:00:01,22,0,0,0
2016-04-23 11:30:01,23,-8.59800000014843e-05,-0.00171149999999898,0
2016-04-23 12:00:01,24,0,0,1
2016-04-23 12:30:01,25,0,0,0.5
2016-04-23 13:00:01,26,0,0,0
2016-04-23 13:30:01,27,0.00100023000000249,-0.00203619999999205,0
2016-04-23 14:00:01,28,0,0,0
2016-04-23 14:30:01,29,-6.86999999999216e-06,-0.000904899999994768,0
2016-04-23 15:00:01,30,0.000925330000001168,0.000368199999996932,0
2016-04-23 15:30:01,31,0,0,0.5
2016-04-23 16:00:01,32,0,0,0
2016-04-23 16:30:01,33,-0.000241139999999973,-2.89999999978363e-05,0
2016-04-23 17:00:01,34,0,0,3.5
2016-04-23 17:30:01,35,0,0,3
2016-04-23 18:00:01,36,0,0,2.5
2016-04-23 18:30:01,37,0,0,2
2016-04-23 19:00:01,38,0,0,1.5
2016-04-23 19:30:01,39,0,0,1
2016-04-23 20:00:01,40,0,0,0.5
2016-04-23 20:30:01,41,0,0,0
2016-04-23 21:00:01,42,0.00373911999999876,-0.00146650000000648,0
2016-04-23 21:30:01,43,0.000292999999999211,-0.00188759999998922,0
2016-04-23 22:00:01,44,0,0,2.5
2016-04-23 22:30:01,45,0,0,2
2016-04-23 23:00:01,46,0,0,1.5
2016-04-23 23:30:01,47,0,0,1
2016-04-24 00:00:01,0,0,0,0.5
2016-04-24 00:30:01,1,0,0,0
2016-04-24 01:00:01,2,-0.000795400000001223,0.000283499999994774,0
2016-04-24 01:30:01,3,0,0,0.5
2016-04-24 02:00:01,4,0,0,0
2016-04-24 02:30:01,5,0.000865459999999985,0.00340520000000311,0
2016-04-24 03:00:01,6,0,0,10
2016-04-24 03:30:01,7,0,0,9.5
2016-04-24 04:00:01,8,0,0,9
2016-04-24 04:30:01,9,0,0,8.5
2016-04-24 05:00:01,10,0,0,8
2016-04-24 05:30:01,11,0,0,7.5
2016-04-24 06:00:01,12,0,0,7
2016-04-24 06:30:01,13,0,0,6.5
2016-04-24 07:00:01,14,0,0,6
2016-04-24 07:30:01,15,0,0,5.5
2016-04-24 08:00:01,16,0,0,5
2016-04-24 08:30:01,17,0,0,4.5
2016-04-24 09:00:01,18,0,0,4
2016-04-24 09:30:01,19,0,0,3.5
2016-04-24 10:00:01,20,0,0,3
2016-04-24 10:30:01,21,0,0,2.5
2016-04-24 11:00:01,22,0,0,2
2016-04-24 11:30:01,23,0,0,1.5
2016-04-24 12:00:01,24,0,0,1
2016-04-24 12:30:01,25,0,0,0.5
2016-04-24 13:00:01,26,0,0,0
2016-04-24 13:30:01,27,1.32800000045563e-05,0.00117720000000077,0
2016-04-24 14:00:01,28,0,0,6
2016-04-24 14:30:01,29,0,0,5.5
2016-04-24 15:00:01,30,0,0,5
2016-04-24 15:30:01,31,0,0,4.5
2016-04-24 16:00:01,32,0,0,4
2016-04-24 16:30:01,33,0,0,3.5
2016-04-24 17:00:01,34,0,0,3
2016-04-24 17:30:01,35,0,0,2.5
2016-04-24 18:00:01,36,0,0,2
2016-04-24 18:30:01,37,0,0,1.5
2016-04-24 19:00:01,38,0,0,1
2016-04-24 19:30:01,39,0,0,0.5
2016-04-24 20:00:01,40,0,0,0
2016-04-24 20:30:01,41,-0.000310160000005055,-0.000189700000007065,0
2016-04-24 21:00:01,42,-0.00226999000000205,-0.00202560000001029,0
2016-04-24 21:30:01,43,0.000127949999999544,0.00159379999999487,0
