"c_0","c_2","c_3","c_4"
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:51:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:51:47,0.000277769999996735,-0.00126109999999358
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:52:17,-0.000405690000000902,-0.00134420000000546
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:52:47,0.000604309999999941,-0.000371700000002306
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:53:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:53:47,9.37000000078569e-06,-5.79999999672509e-06
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:54:17,0.000145369999998479,-0.000988800000001788
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:54:47,-0.000516509999997083,-0.00216879999999264
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:55:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:55:47,-4.12300000007804e-05,-0.0038677000000007
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:56:17,-0.00156058000000314,-0.00468399999999747
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:56:47,0.000789390000001333,-0.00303980000001047
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:57:17,0.000956389999998919,-5.99999992800804e-07
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:57:47,0.00411747000000418,1.8100000005461e-05
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:58:17,0.00609330999999713,-1.06000000101858e-05
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:58:47,0.00195833000000079,-0.00112949999999046
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:59:17,3.5600000032332e-06,-0.00453520000000651
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 12:59:47,-7.10000001902245e-07,-0.00541660000000377
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:00:17,2.42000000127973e-06,-0.00568090000000154
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:00:47,-0.000114320000001555,-0.0011878999999908
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:01:17,-0.00143665000000226,-0.00368000000000279
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:01:47,-0.00114246999999779,-0.00157810000000325
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:02:17,0.000955349999998134,-0.00151549999999645
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:02:47,0.00259051000000454,-0.00414130000000057
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:03:17,0.00151758999999885,-0.00442920000000413
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:03:47,0.000614800000001026,-0.00203969999999742
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:04:17,0.000960639999995294,-0.00107409999999675
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:04:47,3.11699999997472e-05,-3.47000000004982e-05
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:05:17,0.00276636000000252,-0.00306080000000009
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:05:47,0.00232010999999943,-0.00259040000000255
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:06:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:06:47,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:07:17,0.000182389999999089,-0.000405000000000655
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:07:47,-0.00203345999999982,-0.00109290000000328
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:08:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:08:47,-0.00184397999999675,-0.00277829999998858
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:09:17,-0.00020268000000101,-0.000781299999999874
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:09:47,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:10:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:10:47,-0.000898880000001156,-0.000289200000011647
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:11:17,-0.0015125299999994,-0.000789599999990287
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:11:47,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:12:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:12:47,-6.63499999973283e-05,-4.04000000031601e-05
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:13:17,-0.00161990000000145,-0.00175640000000499
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:13:47,-8.54000000032329e-05,-0.000175200000001041
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:14:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:14:47,-5.21999999847367e-06,-1.06999999900381e-05
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:15:17,-0.000607340000001955,-0.00124870000000499
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:15:47,-0.000528259999995839,-0.00107690000000105
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:16:17,-0.000686960000003012,-0.00140079999999898
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:16:47,-0.00129424,-0.00263060000000337
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:17:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:17:47,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:18:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:18:47,-0.000768589999999847,-0.000124900000002981
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:19:17,-0.000474679999996397,0.000359600000010118
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:19:47,-0.00120832000000348,0.00112409999999841
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:20:17,0.00207723999999843,-0.00167509999999993
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:20:47,0.00119504999999975,-0.000904200000007904
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:21:17,0.00264711999999889,-0.00200159999999983
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:21:47,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:22:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:22:47,2.38500000051545e-05,-1.77999999948497e-05
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:23:17,0.00163832999999869,-0.000839700000000221
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:23:47,0.000573629999998104,0.00128809999999646
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:24:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:24:47,0.000420830000003036,0.000959899999998015
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:25:17,0.000955279999999448,0.00211649999999963
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:25:47,6.41099999967309e-05,0.000125400000001719
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:26:17,0.0006073200000003,0.00118840000000375
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:26:47,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:27:17,0.000606879999999421,0.0011613000000068
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:27:47,-0.000108509999996897,0.00305619999998896
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:28:17,-0.000982479999997565,0.00375080000000594
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:28:47,-0.00191562000000545,0.00147579999999436
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:29:17,-0.00109386999999828,0.00241019999999992
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:29:47,-0.00110735999999889,0.00262710000001221
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:30:17,-0.000738980000001277,0.00159939999998926
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:30:47,-0.000149940000000015,0.000434699999999566
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:31:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:31:47,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:32:17,-0.000477390000000355,0.00150290000000552
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:32:47,-0.00137671999999611,0.000970399999999927
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:33:17,-0.000569880000000467,-4.52999999964732e-05
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:33:47,-0.00013610999999969,0.000386100000000056
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:34:17,0.000483329999994453,0.000258299999998712
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:34:47,5.55599999998435e-05,-0.000411100000007991
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:35:17,-0.000333329999996579,-0.000174999999998704
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:35:47,-3.61199999971973e-05,0.000427799999997092
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:36:17,0.000236119999996731,-0.000316699999999059
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:36:47,0.000212349999998196,-0.000108999999994808
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-04 13:37:17,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:46:00,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:47:00,-0.000344439999999224,-0.00115279999999984
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:47:30,-4.72200000061207e-05,-0.00105840000000512
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:48:00,0.000213890000004824,-0.000122199999992745
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:48:30,2.76999999471172e-06,-2.80000000429936e-06
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:49:00,2.78000000264456e-06,-2.69999999602533e-06
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:49:30,0.000418140000000733,-0.000584600000010482
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:50:00,0.000596450000003301,0.00143170000001192
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:50:30,0.000529779999993707,0.00121339999999748
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:51:00,0.000587700000004077,0.00122530000000154
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:51:30,0.00283961999999605,0.00323120000000188
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:52:00,0.000233720000004212,0.000218199999991953
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:52:30,2.61999999651152e-06,2.30000000556174e-06
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:53:00,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:53:30,0.00194726000000145,0.00192849999999112
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:54:00,0.00347831999999926,0.00403880000000356
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:54:30,0.00289211000000478,-0.00333539999999744
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:55:00,0.00535227999999677,-0.00422840000000235
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:55:30,0.00678940000000239,-0.000886600000001181
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:56:00,0.00661301999999608,-0.000195699999991916
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:56:30,0.00445523999999864,-0.00444819999999879
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:57:00,0.0037517600000001,-0.00586410000001081
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:57:30,0.00466233000000216,-0.00273709999999028
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:58:00,0.00466562999999809,-0.000442800000001853
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:58:30,0.00214068000000367,0.0010060999999979
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:59:00,0.00253786999999761,-0.00206430000000069
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 17:59:30,0.000351170000001844,-0.000793299999997998
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 18:00:00,0.000332899999996528,-0.000742600000009475
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 18:00:30,0.000230770000001712,-0.000528099999996812
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 18:01:00,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 18:01:30,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 18:02:00,6.26400000030003e-05,-0.000142900000000168
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 18:02:30,0.000676370000000759,-0.00158559999999852
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 18:03:00,8.59700000006569e-05,-0.000220999999996252
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 18:03:30,0,0
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 18:04:00,4.48199999993903e-05,-0.000118700000001581
"050ae5c4c9743edf4f9b982dbab3b5c8",2016-04-12 18:04:30,0.000661199999996143,-0.00179119999999955
