"c_0","c_2","c_3","c_4"
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:10:21,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:10:51,-0.000363889999995592,0.000422200000002704
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:11:21,5.30999999952542e-05,0.000123000000002094
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:11:51,0.000537870000002272,0.00020539999999869
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:12:21,0.00205973999999998,-0.00229649999999992
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:12:51,0.00112276000000122,-0.00191019999999753
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:13:21,0.00167526999999978,-0.00066989999999123
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:13:51,0.00234987999999703,-0.000933700000018689
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:14:21,-5.85000000086211e-06,-0.000985599999978604
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:14:51,-0.000491939999996305,-0.00173140000001126
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:15:21,-0.000814720000001046,-9.00000000001455e-05
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:15:51,-0.000155560000003163,0.000402799999989156
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:16:21,0.000280560000000207,-0.00013339999998152
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:16:51,-5.55599999998435e-05,8.05999999897722e-05
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:17:21,2.78000000264456e-06,2.80000000429936e-06
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 17:17:51,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:23:56,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:24:26,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:24:56,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:25:26,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:25:56,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:26:26,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:26:56,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:27:26,5.00000000016598e-05,-0.00019720000000234
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:27:56,-0.000222220000004825,0.000188799999989442
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:28:26,-0.000205559999997718,-5.55000000019845e-05
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:28:56,-1.11100000026454e-05,-6.38999999864609e-05
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:29:26,0.000286110000004669,-0.000244500000007974
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:29:56,0.000214749999997821,-5.21000000048844e-05
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:30:26,0.000554970000003152,2.24000000059732e-05
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:30:56,0.000123699999996063,0.000500899999991589
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:31:26,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:31:56,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:32:26,0.000563230000004467,0.00205290000002378
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:32:56,-0.00210339000000204,0.00100530000000276
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:33:26,-0.00127767000000034,0.000502599999975928
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:33:56,-0.000999360000001559,0.000297400000022208
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:34:26,-0.000321419999998795,0.000106999999985646
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:34:56,-0.00097459999999927,0.00255760000001715
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:35:26,-0.00188869000000125,0.00178189999999745
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:35:56,-0.000551860000001625,-0.000424500000008265
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:36:26,4.78999999842245e-06,-0.000206899999994903
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:36:56,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:37:26,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:37:56,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:38:26,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:38:56,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:39:26,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:39:56,0.00010833000000332,-9.43999999947209e-05
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:40:26,0.000416669999999897,-0.000536199999999099
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:40:56,-0.000149999999997874,0.000288899999986825
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:41:26,-6.66700000024889e-05,0.000144500000004655
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:41:56,-2.7779999996369e-05,-5.60000000859873e-06
"1fbe8f642c1b6c23100534c9ef006089",2016-04-12 20:42:26,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-15 09:19:50,0,0
"1fbe8f642c1b6c23100534c9ef006089",2016-04-15 09:20:20,-0.000366669999998237,0.000730599999997139
"1fbe8f642c1b6c23100534c9ef006089",2016-04-15 09:20:50,0.000317580000000817,0.000534600000008822
