"c_0","c_2","c_3","c_4"
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:44:29,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:44:59,-0.000224080000002402,0.00286820000000887
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:45:29,-9.29999998788844e-07,1.80999999912501e-05
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:45:59,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:46:29,-1.61200000050599e-05,0.000317800000004809
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:46:59,-0.000394000000000006,0.00717670000000226
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:47:29,-0.000181009999998594,0.00342829999999594
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:47:59,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:48:29,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:48:59,-3.99999962041875e-08,8.60000000102445e-06
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:49:29,-6.57000000003905e-05,0.00105539999999849
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:49:59,-0.000398560000000714,0.00713879999999278
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:50:29,-0.000349329999998815,0.00689130000000659
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:50:59,-0.000325910000000817,0.00660770000000355
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:51:29,-2.08000000156972e-06,4.16999999970358e-05
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:51:59,-0.000173330000002636,0.00211500000000342
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:52:29,-0.00156482999999952,0.00229240000000175
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:52:59,-0.00325308000000035,-0.00133010000000411
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:53:29,-0.000904110000000458,-0.000581800000006183
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:53:59,-0.000242309999997303,-0.000187499999995566
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:54:29,-0.00061996000000164,-0.00054950000000531
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:54:59,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:55:29,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:55:59,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:56:29,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:56:59,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:57:29,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:57:59,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:58:29,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:58:59,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:59:29,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 20:59:59,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 21:00:29,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 21:00:59,0,0
"3f5c578e6d409faed623eebbc7512236",2016-04-20 21:01:29,0,0
