"c_0","c_2","c_3","c_4"
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:39:54,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:40:24,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:40:54,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:41:24,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:41:54,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:42:24,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:42:54,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:43:24,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:43:54,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:44:24,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:44:54,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:45:24,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:45:54,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:46:24,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:46:54,2.22199999981854e-05,8.34000000082824e-05
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:47:24,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:47:54,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:48:24,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:48:54,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:49:24,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:49:54,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:50:24,0,0
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:50:54,1.66600000000017e-05,0.000202799999996728
"65e7d99f12bab89f21dd2373f5df58e7",2016-04-15 19:51:24,0.00108414000000323,9.74999999954207e-05
