"time","period","lat","lon","parking"
2016-04-21 09:30:01,19,-0.00178610999999762,-0.000749999999996476,0
2016-04-21 10:00:01,20,0,0,1.5
2016-04-21 10:30:01,21,0,0,1
2016-04-21 11:00:01,22,0,0,0.5
2016-04-21 11:30:01,23,0,0,0
2016-04-21 12:00:01,24,7.01000000447039e-06,-8.39999999868723e-06,0
2016-04-21 12:30:01,25,0,0,0
2016-04-21 13:00:01,26,0.00118436999999716,-0.0030112000000031,0
2016-04-21 13:30:01,27,0,0,0
2016-04-21 14:00:01,28,0.00217877000000044,-0.000414599999999154,0
2016-04-21 14:30:01,29,0,0,3.5
2016-04-21 15:00:01,30,0,0,3
2016-04-21 15:30:01,31,0,0,2.5
2016-04-21 16:00:01,32,0,0,2
2016-04-21 16:30:01,33,0,0,1.5
2016-04-21 17:00:01,34,0,0,1
2016-04-21 17:30:01,35,0,0,0.5
2016-04-21 18:00:01,36,0,0,0
2016-04-21 18:30:01,37,-0.00014254999999963,-0.00071169999999654,0
2016-04-21 19:00:01,38,2.05700000037723e-05,-0.000728700000010463,0
2016-04-21 19:30:01,39,0,0,2
2016-04-21 20:00:01,40,0,0,1.5
2016-04-21 20:30:01,41,0,0,1
2016-04-21 21:00:01,42,0,0,0.5
2016-04-21 21:30:01,43,0,0,0
2016-04-21 22:00:01,44,0.00101374000000476,0.00114899999999807,0
2016-04-21 22:30:01,45,-8.90000002584657e-07,-0.000142999999994231,0
2016-04-21 23:00:01,46,0,0,3.5
2016-04-21 23:30:01,47,0,0,3
2016-04-22 00:00:01,0,0,0,2.5
2016-04-22 00:30:01,1,0,0,2
2016-04-22 01:00:01,2,0,0,1.5
2016-04-22 01:30:01,3,0,0,1
2016-04-22 02:00:01,4,0,0,0.5
2016-04-22 02:30:01,5,0,0,0
2016-04-22 03:00:01,6,-0.00139843000000184,-0.000359999999986371,0
2016-04-22 03:30:01,7,0.00694121000000081,0.00125570000000153,0
2016-04-22 04:00:01,8,0.00259977999999705,-0.00449480000000335,0
2016-04-22 04:30:01,9,0,0,6.5
2016-04-22 05:00:01,10,0,0,6
2016-04-22 05:30:01,11,0,0,5.5
2016-04-22 06:00:01,12,0,0,5
2016-04-22 06:30:01,13,0,0,4.5
2016-04-22 07:00:01,14,0,0,4
2016-04-22 07:30:01,15,0,0,3.5
2016-04-22 08:00:01,16,0,0,3
2016-04-22 08:30:01,17,0,0,2.5
2016-04-22 09:00:01,18,0,0,2
2016-04-22 09:30:01,19,0,0,1.5
2016-04-22 10:00:01,20,0,0,1
2016-04-22 10:30:01,21,0,0,0.5
2016-04-22 11:00:01,22,0,0,0
2016-04-22 11:30:01,23,1.58000000283209e-06,0.000247099999995726,0
2016-04-22 12:00:01,24,-0.0037448499999968,0.00215279999999041,0
2016-04-22 12:30:01,25,0,0,6
2016-04-22 13:00:01,26,0,0,5.5
2016-04-22 13:30:01,27,0,0,5
2016-04-22 14:00:01,28,0,0,4.5
2016-04-22 14:30:01,29,0,0,4
2016-04-22 15:00:01,30,0,0,3.5
2016-04-22 15:30:01,31,0,0,3
2016-04-22 16:00:01,32,0,0,2.5
2016-04-22 16:30:01,33,0,0,2
2016-04-22 17:00:01,34,0,0,1.5
2016-04-22 17:30:01,35,0,0,1
2016-04-22 18:00:01,36,0,0,0.5
2016-04-22 18:30:01,37,0,0,0
2016-04-22 19:00:01,38,-7.1900000051528e-06,-6.24999999985221e-05,0
2016-04-22 19:30:01,39,0.00174764000000494,-0.000560899999996423,0
2016-04-22 20:00:01,40,0,0,0
2016-04-22 20:30:01,41,0.000412050000001329,-0.00309160000000475,0
2016-04-22 21:00:01,42,0.00171176000000628,-0.0044462999999979,0
2016-04-22 21:30:01,43,0.000180559999996888,-0.000191700000002015,0
2016-04-22 22:00:01,44,0,0,3
2016-04-22 22:30:01,45,0,0,2.5
2016-04-22 23:00:01,46,0,0,2
2016-04-22 23:30:01,47,0,0,1.5
2016-04-23 00:00:01,0,0,0,1
2016-04-23 00:30:01,1,0,0,0.5
2016-04-23 01:00:01,2,0,0,0
2016-04-23 01:30:01,3,0.000152440000000809,-0.000208400000005327,0
2016-04-23 02:00:01,4,-6.30600000022241e-05,0.00269529999999918,0
2016-04-23 02:30:01,5,0,0,8
2016-04-23 03:00:01,6,0,0,7.5
2016-04-23 03:30:01,7,0,0,7
2016-04-23 04:00:01,8,0,0,6.5
2016-04-23 04:30:01,9,0,0,6
2016-04-23 05:00:01,10,0,0,5.5
2016-04-23 05:30:01,11,0,0,5
2016-04-23 06:00:01,12,0,0,4.5
2016-04-23 06:30:01,13,0,0,4
2016-04-23 07:00:01,14,0,0,3.5
2016-04-23 07:30:01,15,0,0,3
2016-04-23 08:00:01,16,0,0,2.5
2016-04-23 08:30:01,17,0,0,2
2016-04-23 09:00:01,18,0,0,1.5
2016-04-23 09:30:01,19,0,0,1
2016-04-23 10:00:01,20,0,0,0.5
2016-04-23 10:30:01,21,0,0,0
2016-04-23 11:00:01,22,1.05000000161226e-06,-3.69999999350057e-06,0
2016-04-23 11:30:01,23,0,0,0.5
2016-04-23 12:00:01,24,0,0,0
2016-04-23 12:30:01,25,-0.0026607200000015,0.00103659999999195,0
2016-04-23 13:00:01,26,0,0,0.5
2016-04-23 13:30:01,27,0,0,0
2016-04-23 14:00:01,28,-2.86699999989537e-05,-0.00141299999999944,0
2016-04-23 14:30:01,29,0,0,0
2016-04-23 15:00:01,30,-0.00069526000000053,-0.00120289999999557,0
2016-04-23 15:30:01,31,0,0,1.5
2016-04-23 16:00:01,32,0,0,1
2016-04-23 16:30:01,33,0,0,0.5
2016-04-23 17:00:01,34,0,0,0
2016-04-23 17:30:01,35,-0.000331549999998515,0.000932300000002328,0
2016-04-23 18:00:01,36,0,0,1.5
2016-04-23 18:30:01,37,0,0,1
2016-04-23 19:00:01,38,0,0,0.5
2016-04-23 19:30:01,39,0,0,0
2016-04-23 20:00:01,40,7.6289999995538e-05,0.00032660000000817,10.5
2016-04-23 20:30:01,41,7.6289999995538e-05,0.00032660000000817,10
2016-04-23 21:00:01,42,7.6289999995538e-05,0.00032660000000817,9.5
2016-04-23 21:30:01,43,7.6289999995538e-05,0.00032660000000817,9
2016-04-23 22:00:01,44,7.6289999995538e-05,0.00032660000000817,8.5
2016-04-23 22:30:01,45,7.6289999995538e-05,0.00032660000000817,8
2016-04-23 23:00:01,46,7.6289999995538e-05,0.00032660000000817,7.5
2016-04-23 23:30:01,47,7.6289999995538e-05,0.00032660000000817,7
2016-04-24 00:00:01,0,7.6289999995538e-05,0.00032660000000817,6.5
2016-04-24 00:30:01,1,7.6289999995538e-05,0.00032660000000817,6
2016-04-24 01:00:01,2,7.6289999995538e-05,0.00032660000000817,5.5
2016-04-24 01:30:01,3,7.6289999995538e-05,0.00032660000000817,5
2016-04-24 02:00:01,4,7.6289999995538e-05,0.00032660000000817,4.5
2016-04-24 02:30:01,5,7.6289999995538e-05,0.00032660000000817,4
2016-04-24 03:00:01,6,7.6289999995538e-05,0.00032660000000817,3.5
2016-04-24 03:30:01,7,7.6289999995538e-05,0.00032660000000817,3
2016-04-24 04:00:01,8,7.6289999995538e-05,0.00032660000000817,2.5
2016-04-24 04:30:01,9,7.6289999995538e-05,0.00032660000000817,2
2016-04-24 05:00:01,10,7.6289999995538e-05,0.00032660000000817,1.5
2016-04-24 05:30:01,11,7.6289999995538e-05,0.00032660000000817,1
2016-04-24 06:00:01,12,7.6289999995538e-05,0.00032660000000817,0.5
2016-04-24 06:30:01,13,7.6289999995538e-05,0.00032660000000817,0
2016-04-24 07:00:01,14,-6.68700000048261e-05,0.000294199999999023,0
2016-04-24 07:30:01,15,0.0010146900000052,-0.00491979999999614,0
2016-04-24 08:00:01,16,0,0,11
2016-04-24 08:30:01,17,0,0,10.5
2016-04-24 09:00:01,18,0,0,10
2016-04-24 09:30:01,19,0,0,9.5
2016-04-24 10:00:01,20,0,0,9
2016-04-24 10:30:01,21,0,0,8.5
2016-04-24 11:00:01,22,0,0,8
2016-04-24 11:30:01,23,0,0,7.5
2016-04-24 12:00:01,24,0,0,7
2016-04-24 12:30:01,25,0,0,6.5
2016-04-24 13:00:01,26,0,0,6
2016-04-24 13:30:01,27,0,0,5.5
2016-04-24 14:00:01,28,0,0,5
2016-04-24 14:30:01,29,0,0,4.5
2016-04-24 15:00:01,30,0,0,4
2016-04-24 15:30:01,31,0,0,3.5
2016-04-24 16:00:01,32,0,0,3
2016-04-24 16:30:01,33,0,0,2.5
2016-04-24 17:00:01,34,0,0,2
2016-04-24 17:30:01,35,0,0,1.5
2016-04-24 18:00:01,36,0,0,1
2016-04-24 18:30:01,37,0,0,0.5
2016-04-24 19:00:01,38,0,0,0
2016-04-24 19:30:01,39,0.000848460000000273,-0.00155320000000359,0
2016-04-24 20:00:01,40,0,0,1
2016-04-24 20:30:01,41,0,0,0.5
2016-04-24 21:00:01,42,0,0,0
2016-04-24 21:30:01,43,0.00042930000000041,-0.00070490000000234,0
2016-04-24 22:00:01,44,0,0,0
