"time","period","lat","lon","parking"
2016-04-21 16:30:01,33,-0.00422342999999614,0.00286109999998985,0
2016-04-21 17:00:01,34,0,0,2
2016-04-21 17:30:01,35,0,0,1.5
2016-04-21 18:00:01,36,0,0,1
2016-04-21 18:30:01,37,0,0,0.5
2016-04-21 19:00:01,38,0,0,0
2016-04-21 19:30:01,39,-0.000626780000004601,0.00378690000000859,0
2016-04-21 20:00:01,40,0,0,0
2016-04-21 20:30:01,41,6.65299999980107e-05,-0.00183750000000771,0
2016-04-21 21:00:01,42,0,0,2
2016-04-21 21:30:01,43,0,0,1.5
2016-04-21 22:00:01,44,0,0,1
2016-04-21 22:30:01,45,0,0,0.5
2016-04-21 23:00:01,46,0,0,0
2016-04-21 23:30:01,47,-0.000202769999994246,-0.0025582999999898,0
2016-04-22 00:00:01,0,-0.00656667999999883,-0.0086083000000059,0
2016-04-22 00:30:01,1,0,0,0
2016-04-22 01:00:01,2,0.00347364999999655,0.00834140000000616,0
2016-04-22 01:30:01,3,0,0,0
2016-04-22 02:00:01,4,-0.00285689000000389,0.00235480000000621,0
2016-04-22 02:30:01,5,0,0,13.5
2016-04-22 03:00:01,6,0,0,13
2016-04-22 03:30:01,7,0,0,12.5
2016-04-22 04:00:01,8,0,0,12
2016-04-22 04:30:01,9,0,0,11.5
2016-04-22 05:00:01,10,0,0,11
2016-04-22 05:30:01,11,0,0,10.5
2016-04-22 06:00:01,12,0,0,10
2016-04-22 06:30:01,13,0,0,9.5
2016-04-22 07:00:01,14,0,0,9
2016-04-22 07:30:01,15,0,0,8.5
2016-04-22 08:00:01,16,0,0,8
2016-04-22 08:30:01,17,0,0,7.5
2016-04-22 09:00:01,18,0,0,7
2016-04-22 09:30:01,19,0,0,6.5
2016-04-22 10:00:01,20,0,0,6
2016-04-22 10:30:01,21,0,0,5.5
2016-04-22 11:00:01,22,0,0,5
2016-04-22 11:30:01,23,0,0,4.5
2016-04-22 12:00:01,24,0,0,4
2016-04-22 12:30:01,25,0,0,3.5
2016-04-22 13:00:01,26,0,0,3
2016-04-22 13:30:01,27,0,0,2.5
2016-04-22 14:00:01,28,0,0,2
2016-04-22 14:30:01,29,0,0,1.5
2016-04-22 15:00:01,30,0,0,1
2016-04-22 15:30:01,31,0,0,0.5
2016-04-22 16:00:01,32,0,0,0
2016-04-22 16:30:01,33,0.00217672000000135,0.00165339999999503,0
2016-04-22 17:00:01,34,0,0,1.5
2016-04-22 17:30:01,35,0,0,1
2016-04-22 18:00:01,36,0,0,0.5
2016-04-22 18:30:01,37,0,0,0
2016-04-22 19:00:01,38,-0.000275580000000275,0.00644769999999539,0
2016-04-22 19:30:01,39,0,0,2
2016-04-22 20:00:01,40,0,0,1.5
2016-04-22 20:30:01,41,0,0,1
2016-04-22 21:00:01,42,0,0,0.5
2016-04-22 21:30:01,43,0,0,0
2016-04-22 22:00:01,44,0.00105324000000451,-0.000176699999997254,0
2016-04-22 22:30:01,45,0,0,2
2016-04-22 23:00:01,46,0,0,1.5
2016-04-22 23:30:01,47,0,0,1
2016-04-23 00:00:01,0,0,0,0.5
2016-04-23 00:30:01,1,0,0,0
2016-04-23 01:00:01,2,0.0019846699999988,-0.00304599999999766,0
2016-04-23 01:30:01,3,0.000752499999997269,0.00177469999999857,0
2016-04-23 02:00:01,4,0.000993450000002838,0.0004851000000059,0
2016-04-23 02:30:01,5,0,0,1
2016-04-23 03:00:01,6,0,0,0.5
2016-04-23 03:30:01,7,0,0,0
2016-04-23 04:00:01,8,-0.001011290000001,0.000910900000008041,0
2016-04-23 04:30:01,9,0,0,1
2016-04-23 05:00:01,10,0,0,0.5
2016-04-23 05:30:01,11,0,0,0
2016-04-23 06:00:01,12,0.00217719999999844,-0.00185209999999358,0
2016-04-23 06:30:01,13,0,0,6.5
2016-04-23 07:00:01,14,0,0,6
2016-04-23 07:30:01,15,0,0,5.5
2016-04-23 08:00:01,16,0,0,5
2016-04-23 08:30:01,17,0,0,4.5
2016-04-23 09:00:01,18,0,0,4
2016-04-23 09:30:01,19,0,0,3.5
2016-04-23 10:00:01,20,0,0,3
2016-04-23 10:30:01,21,0,0,2.5
2016-04-23 11:00:01,22,0,0,2
2016-04-23 11:30:01,23,0,0,1.5
2016-04-23 12:00:01,24,0,0,1
2016-04-23 12:30:01,25,0,0,0.5
2016-04-23 13:00:01,26,0,0,0
2016-04-23 13:30:01,27,-9.81000000166432e-06,-3.99000000044225e-05,0
2016-04-23 14:00:01,28,0,0,11
2016-04-23 14:30:01,29,0,0,10.5
2016-04-23 15:00:01,30,0,0,10
2016-04-23 15:30:01,31,0,0,9.5
2016-04-23 16:00:01,32,0,0,9
2016-04-23 16:30:01,33,0,0,8.5
2016-04-23 17:00:01,34,0,0,8
2016-04-23 17:30:01,35,0,0,7.5
2016-04-23 18:00:01,36,0,0,7
2016-04-23 18:30:01,37,0,0,6.5
2016-04-23 19:00:01,38,0,0,6
2016-04-23 19:30:01,39,0,0,5.5
2016-04-23 20:00:01,40,0,0,5
2016-04-23 20:30:01,41,0,0,4.5
2016-04-23 21:00:01,42,0,0,4
2016-04-23 21:30:01,43,0,0,3.5
2016-04-23 22:00:01,44,0,0,3
2016-04-23 22:30:01,45,0,0,2.5
2016-04-23 23:00:01,46,0,0,2
2016-04-23 23:30:01,47,0,0,1.5
2016-04-24 00:00:01,0,0,0,1
2016-04-24 00:30:01,1,0,0,0.5
2016-04-24 01:00:01,2,0,0,0
2016-04-24 01:30:01,3,1.14600000031828e-05,-0.000191400000005615,0
2016-04-24 02:00:01,4,-0.000779219999998304,0.00684040000000152,0
2016-04-24 02:30:01,5,0,0,0.5
2016-04-24 03:00:01,6,0,0,0
2016-04-24 03:30:01,7,-3.52799999987496e-05,-0.00809950000000015,0
2016-04-24 04:00:01,8,-0.00484241000000196,-0.00101080000000309,0
2016-04-24 04:30:01,9,5.77199999938216e-05,0.000168200000004504,0
2016-04-24 05:00:01,10,0.000551080000001036,-0.00335679999999172,0
2016-04-24 05:30:01,11,-0.000980550000001301,0.00763620000000742,0
2016-04-24 06:00:01,12,-0.00061414000000326,-0.00183150000000865,0
2016-04-24 06:30:01,13,0,0,11.5
2016-04-24 07:00:01,14,0,0,11
2016-04-24 07:30:01,15,0,0,10.5
2016-04-24 08:00:01,16,0,0,10
2016-04-24 08:30:01,17,0,0,9.5
2016-04-24 09:00:01,18,0,0,9
2016-04-24 09:30:01,19,0,0,8.5
2016-04-24 10:00:01,20,0,0,8
2016-04-24 10:30:01,21,0,0,7.5
2016-04-24 11:00:01,22,0,0,7
2016-04-24 11:30:01,23,0,0,6.5
2016-04-24 12:00:01,24,0,0,6
2016-04-24 12:30:01,25,0,0,5.5
2016-04-24 13:00:01,26,0,0,5
2016-04-24 13:30:01,27,0,0,4.5
2016-04-24 14:00:01,28,0,0,4
2016-04-24 14:30:01,29,0,0,3.5
2016-04-24 15:00:01,30,0,0,3
2016-04-24 15:30:01,31,0,0,2.5
2016-04-24 16:00:01,32,0,0,2
2016-04-24 16:30:01,33,0,0,1.5
2016-04-24 17:00:01,34,0,0,1
2016-04-24 17:30:01,35,0,0,0.5
2016-04-24 18:00:01,36,0,0,0
2016-04-24 18:30:01,37,-0.000473289999995075,-0.00228610000000629,0
2016-04-24 19:00:01,38,0,0,0.5
2016-04-24 19:30:01,39,0,0,0
2016-04-24 20:00:01,40,-0.000442169999999464,-0.001396100000008,0
2016-04-24 20:30:01,41,0,0,0.5
2016-04-24 21:00:01,42,0,0,0
