"c_0","c_2","c_3","c_4"
"926b34f4d951772b5c57700491e4a380",2016-04-14 19:55:09,0,0
"926b34f4d951772b5c57700491e4a380",2016-04-14 19:55:39,-1.1619999995105e-05,-0.000452599999988479
"926b34f4d951772b5c57700491e4a380",2016-04-14 19:56:09,-0.000129370000003348,-0.00203570000000752
"926b34f4d951772b5c57700491e4a380",2016-04-14 19:56:39,-9.99900000024922e-05,-0.00153290000000084
"926b34f4d951772b5c57700491e4a380",2016-04-14 19:57:09,0,0
"926b34f4d951772b5c57700491e4a380",2016-04-14 19:57:39,9.92300000035584e-05,-0.00030060000000276
"926b34f4d951772b5c57700491e4a380",2016-04-14 19:58:09,-8.79000000253427e-06,0.00279270000000054
"926b34f4d951772b5c57700491e4a380",2016-04-14 19:58:39,0.000183800000002066,0.0052542000000102
"926b34f4d951772b5c57700491e4a380",2016-04-14 19:59:09,-0.00243661000000372,0.00129869999999244
"926b34f4d951772b5c57700491e4a380",2016-04-14 19:59:39,-0.000112059999999303,0.000146499999999605
"926b34f4d951772b5c57700491e4a380",2016-04-14 20:00:09,-0.00142395999999678,0.00195569999999634
"926b34f4d951772b5c57700491e4a380",2016-04-14 20:00:39,0.00120103999999799,0.00157280000000526
"926b34f4d951772b5c57700491e4a380",2016-04-14 20:01:09,0.00047450000000282,-0.000644300000004705
"926b34f4d951772b5c57700491e4a380",2016-04-14 20:01:39,5.97900000016693e-05,-8.47999999962212e-05
"926b34f4d951772b5c57700491e4a380",2016-04-14 20:02:09,-5.24400000045944e-05,0.000294199999999023
"926b34f4d951772b5c57700491e4a380",2016-04-14 20:02:39,-3.8879999998187e-05,2.77999999980239e-05
"926b34f4d951772b5c57700491e4a380",2016-04-14 20:03:09,0,0
"926b34f4d951772b5c57700491e4a380",2016-04-15 06:38:05,0,0
"926b34f4d951772b5c57700491e4a380",2016-04-15 06:38:35,0,0
"926b34f4d951772b5c57700491e4a380",2016-04-15 06:39:05,0,0
