"c_0","c_2","c_3","c_4"
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:17:43,0,0
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:18:43,-2.29500000017424e-05,-0.000894500000001131
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:19:13,-0.00123083999999807,-0.000546800000009284
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:19:43,-0.000190230000001179,-4.52999999964732e-05
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:20:13,0,0
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:20:43,-3.44100000049252e-05,-7.49999999527518e-06
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:21:13,-0.000335869999993577,0.000250299999990489
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:21:43,-0.000301920000005396,0.00241630000000725
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:22:13,-1.9699999995737e-06,1.72000000020489e-05
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:22:43,0,0
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:23:13,-0.000157809999997482,0.00119259999999599
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:23:43,-7.53899999992313e-05,0.00055460000000096
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:24:13,-0.000332460000002754,0.00214710000000196
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:24:43,-0.000324759999998037,0.0024916999999931
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:25:13,-0.00015660999999767,0.00138900000000319
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:25:43,-0.000197070000005795,0.00150589999999795
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:26:13,-0.000350149999995608,0.00339790000001017
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:26:43,0.00014362999999662,0.000863599999988196
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:27:13,3.74700000023154e-05,0.000221700000011538
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:27:43,7.36499999973717e-05,0.00042719999999008
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:28:13,-0.00201142999999604,0.00062580000000878
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:28:43,-0.00060712999999879,0.000142900000000168
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:29:13,0,0
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:29:43,0,0
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:30:13,0,0
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:30:43,0,0
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:31:13,-0.000292880000003493,0.000329299999989985
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:31:43,0.000376680000002239,0.00208520000001045
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:32:13,0.000179419999994934,0.0010252999999949
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:32:43,4.50200000017276e-05,0.000257199999992963
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:33:13,-0.000101219999997681,0.00196100000000854
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:33:43,-9.64000000180931e-06,6.65999999966971e-05
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:34:13,-8.15299999956665e-05,0.000568999999998709
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:34:43,0,0
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:35:13,0,0
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:35:43,0,0
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:36:13,-7.06500000049459e-05,0.000484999999997626
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:36:43,0.000142500000002599,0.00179980000000057
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:37:13,0.00109248999999778,0.000249500000009562
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:37:43,0.00307339000000439,0.000704899999988129
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:38:13,0.00110283999999439,0.000566200000008621
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:38:43,0,0
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:39:13,0.000603860000005341,0.00278050000000007
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:39:43,0.000178540000000282,0.00103249999999377
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:40:13,6.49999996937822e-07,3.80000000177461e-06
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:40:43,0.000675309999998319,0.00374700000000416
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:41:13,0.00111729000000338,0.00617160000000183
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:41:43,0.000530969999999797,0.00269659999999305
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:42:13,4.34299999980681e-05,0.000809500000002572
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:42:43,-6.35299999984795e-05,0.00209970000000226
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:43:13,-0.000107579999998109,0.00104910000000302
"eee19bbd315c18737d8609117d1a1b11",2016-04-14 18:43:43,-0.000201530000005334,0.00160019999999861
