"time","period","lat","lon","parking"
2016-04-13 17:00:01,34,-0.000297750000001429,-0.000866999999999507,0
2016-04-13 17:30:01,35,0,0,5
2016-04-13 18:00:01,36,0,0,4.5
2016-04-13 18:30:01,37,0,0,4
2016-04-13 19:00:01,38,0,0,3.5
2016-04-13 19:30:01,39,0,0,3
2016-04-13 20:00:01,40,0,0,2.5
2016-04-13 20:30:01,41,0,0,2
2016-04-13 21:00:01,42,0,0,1.5
2016-04-13 21:30:01,43,0,0,1
2016-04-13 22:00:01,44,0,0,0.5
2016-04-13 22:30:01,45,0,0,0
2016-04-13 23:00:01,46,-0.00013557999999847,-2.21000000237837e-05,0
2016-04-13 23:30:01,47,0,0,9.5
2016-04-14 00:00:01,0,0,0,9
2016-04-14 00:30:01,1,0,0,8.5
2016-04-14 01:00:01,2,0,0,8
2016-04-14 01:30:01,3,0,0,7.5
2016-04-14 02:00:01,4,0,0,7
2016-04-14 02:30:01,5,0,0,6.5
2016-04-14 03:00:01,6,0,0,6
2016-04-14 03:30:01,7,0,0,5.5
2016-04-14 04:00:01,8,0,0,5
2016-04-14 04:30:01,9,0,0,4.5
2016-04-14 05:00:01,10,0,0,4
2016-04-14 05:30:01,11,0,0,3.5
2016-04-14 06:00:01,12,0,0,3
2016-04-14 06:30:01,13,0,0,2.5
2016-04-14 07:00:01,14,0,0,2
2016-04-14 07:30:01,15,0,0,1.5
2016-04-14 08:00:01,16,0,0,1
2016-04-14 08:30:01,17,0,0,0.5
2016-04-14 09:00:01,18,0,0,0
2016-04-14 09:30:01,19,0.00264463000000603,-0.00246110000000499,0
2016-04-14 10:00:01,20,0,0,33.5
2016-04-14 10:30:01,21,0,0,33
2016-04-14 11:00:01,22,0,0,32.5
2016-04-14 11:30:01,23,0,0,32
2016-04-14 12:00:01,24,0,0,31.5
2016-04-14 12:30:01,25,0,0,31
2016-04-14 13:00:01,26,0,0,30.5
2016-04-14 13:30:01,27,0,0,30
2016-04-14 14:00:01,28,0,0,29.5
2016-04-14 14:30:01,29,0,0,29
2016-04-14 15:00:01,30,0,0,28.5
2016-04-14 15:30:01,31,0,0,28
2016-04-14 16:00:01,32,0,0,27.5
2016-04-14 16:30:01,33,0,0,27
2016-04-14 17:00:01,34,0,0,26.5
2016-04-14 17:30:01,35,0,0,26
2016-04-14 18:00:01,36,0,0,25.5
2016-04-14 18:30:01,37,0,0,25
2016-04-14 19:00:01,38,0,0,24.5
2016-04-14 19:30:01,39,0,0,24
2016-04-14 20:00:01,40,0,0,23.5
2016-04-14 20:30:01,41,0,0,23
2016-04-14 21:00:01,42,0,0,22.5
2016-04-14 21:30:01,43,0,0,22
2016-04-14 22:00:01,44,0,0,21.5
2016-04-14 22:30:01,45,0,0,21
2016-04-14 23:00:01,46,0,0,20.5
2016-04-14 23:30:01,47,0,0,20
2016-04-15 00:00:01,0,0,0,19.5
2016-04-15 00:30:01,1,0,0,19
2016-04-15 01:00:01,2,0,0,18.5
2016-04-15 01:30:01,3,0,0,18
2016-04-15 02:00:01,4,0,0,17.5
2016-04-15 02:30:01,5,0,0,17
2016-04-15 03:00:01,6,0,0,16.5
2016-04-15 03:30:01,7,0,0,16
2016-04-15 04:00:01,8,0,0,15.5
2016-04-15 04:30:01,9,0,0,15
2016-04-15 05:00:01,10,0,0,14.5
2016-04-15 05:30:01,11,0,0,14
2016-04-15 06:00:01,12,0,0,13.5
2016-04-15 06:30:01,13,0,0,13
2016-04-15 07:00:01,14,0,0,12.5
2016-04-15 07:30:01,15,0,0,12
2016-04-15 08:00:01,16,0,0,11.5
2016-04-15 08:30:01,17,0,0,11
2016-04-15 09:00:01,18,0,0,10.5
2016-04-15 09:30:01,19,0,0,10
2016-04-15 10:00:01,20,0,0,9.5
2016-04-15 10:30:01,21,0,0,9
2016-04-15 11:00:01,22,0,0,8.5
2016-04-15 11:30:01,23,0,0,8
2016-04-15 12:00:01,24,0,0,7.5
2016-04-15 12:30:01,25,0,0,7
2016-04-15 13:00:01,26,0,0,6.5
2016-04-15 13:30:01,27,0,0,6
2016-04-15 14:00:01,28,0,0,5.5
2016-04-15 14:30:01,29,0,0,5
2016-04-15 15:00:01,30,0,0,4.5
2016-04-15 15:30:01,31,0,0,4
2016-04-15 16:00:01,32,0,0,3.5
2016-04-15 16:30:01,33,0,0,3
2016-04-15 17:00:01,34,0,0,2.5
2016-04-15 17:30:01,35,0,0,2
2016-04-15 18:00:01,36,0,0,1.5
2016-04-15 18:30:01,37,0,0,1
2016-04-15 19:00:01,38,0,0,0.5
2016-04-15 19:30:01,39,0,0,0
2016-04-15 20:00:01,40,-0.00138747999999822,-0.00107320000000755,0
2016-04-15 20:30:01,41,-0.000167389999994327,-0.000723700000008876,0
2016-04-15 21:00:01,42,0.00355240999999751,-0.00084590000000162,0
2016-04-15 21:30:01,43,1.78499999989867e-05,1.53999999952248e-05,1.5
2016-04-15 22:00:01,44,1.78499999989867e-05,1.53999999952248e-05,1
2016-04-15 22:30:01,45,1.78499999989867e-05,1.53999999952248e-05,0.5
2016-04-15 23:00:01,46,1.78499999989867e-05,1.53999999952248e-05,0
2016-04-15 23:30:01,47,2.6869999999235e-05,-0.000104999999990696,0
2016-04-16 00:00:01,0,0,0,10.5
2016-04-16 00:30:01,1,0,0,10
2016-04-16 01:00:01,2,0,0,9.5
2016-04-16 01:30:01,3,0,0,9
2016-04-16 02:00:01,4,0,0,8.5
2016-04-16 02:30:01,5,0,0,8
2016-04-16 03:00:01,6,0,0,7.5
2016-04-16 03:30:01,7,0,0,7
2016-04-16 04:00:01,8,0,0,6.5
2016-04-16 04:30:01,9,0,0,6
2016-04-16 05:00:01,10,0,0,5.5
2016-04-16 05:30:01,11,0,0,5
2016-04-16 06:00:01,12,0,0,4.5
2016-04-16 06:30:01,13,0,0,4
2016-04-16 07:00:01,14,0,0,3.5
2016-04-16 07:30:01,15,0,0,3
2016-04-16 08:00:01,16,0,0,2.5
2016-04-16 08:30:01,17,0,0,2
2016-04-16 09:00:01,18,0,0,1.5
2016-04-16 09:30:01,19,0,0,1
2016-04-16 10:00:01,20,0,0,0.5
2016-04-16 10:30:01,21,0,0,0
2016-04-16 11:00:01,22,1.24000000312208e-06,-6.20000000139953e-06,0
2016-04-16 11:30:01,23,0.00154789999999849,-0.000464500000020962,0
2016-04-16 12:00:01,24,-0.00737598999999989,0.00412359999998557,0
2016-04-16 12:30:01,25,0,0,0
2016-04-16 13:00:01,26,0.00630918999999608,0.00234330000000682,0
2016-04-16 13:30:01,27,-0.00340302000000037,-0.00120350000000258,0
2016-04-16 14:00:01,28,0,0,0
2016-04-16 14:30:01,29,0.00252366000000137,0.000252200000005587,0
2016-04-16 15:00:01,30,0,0,7
2016-04-16 15:30:01,31,0,0,6.5
2016-04-16 16:00:01,32,0,0,6
2016-04-16 16:30:01,33,0,0,5.5
2016-04-16 17:00:01,34,0,0,5
2016-04-16 17:30:01,35,0,0,4.5
2016-04-16 18:00:01,36,0,0,4
2016-04-16 18:30:01,37,0,0,3.5
2016-04-16 19:00:01,38,0,0,3
2016-04-16 19:30:01,39,0,0,2.5
2016-04-16 20:00:01,40,0,0,2
2016-04-16 20:30:01,41,0,0,1.5
2016-04-16 21:00:01,42,0,0,1
2016-04-16 21:30:01,43,0,0,0.5
2016-04-16 22:00:01,44,0,0,0
2016-04-16 22:30:01,45,-0.00299497999999687,0.00268909999999778,0
2016-04-16 23:00:01,46,-0.00582997999999435,-0.00267519999999877,0
2016-04-16 23:30:01,47,0,0,11.5
2016-04-17 00:00:01,0,0,0,11
2016-04-17 00:30:01,1,0,0,10.5
2016-04-17 01:00:01,2,0,0,10
2016-04-17 01:30:01,3,0,0,9.5
2016-04-17 02:00:01,4,0,0,9
2016-04-17 02:30:01,5,0,0,8.5
2016-04-17 03:00:01,6,0,0,8
2016-04-17 03:30:01,7,0,0,7.5
2016-04-17 04:00:01,8,0,0,7
2016-04-17 04:30:01,9,0,0,6.5
2016-04-17 05:00:01,10,0,0,6
2016-04-17 05:30:01,11,0,0,5.5
2016-04-17 06:00:01,12,0,0,5
2016-04-17 06:30:01,13,0,0,4.5
2016-04-17 07:00:01,14,0,0,4
2016-04-17 07:30:01,15,0,0,3.5
2016-04-17 08:00:01,16,0,0,3
2016-04-17 08:30:01,17,0,0,2.5
2016-04-17 09:00:01,18,0,0,2
2016-04-17 09:30:01,19,0,0,1.5
2016-04-17 10:00:01,20,0,0,1
2016-04-17 10:30:01,21,0,0,0.5
2016-04-17 11:00:01,22,0,0,0
2016-04-17 11:30:01,23,-8.86400000013054e-05,-0.00136470000001054,0
2016-04-17 12:00:01,24,0.00126391999999953,0.00174010000000635,0
2016-04-17 12:30:01,25,0.00377337999999838,0.00202860000001692,0
2016-04-17 13:00:01,26,0.00535878000000167,-0.010276900000008,0
2016-04-17 13:30:01,27,0,0,0
2016-04-17 14:00:01,28,0.00829587000000487,-0.00327329999998938,0
2016-04-17 14:30:01,29,0,0,1.5
2016-04-17 15:00:01,30,0,0,1
2016-04-17 15:30:01,31,0,0,0.5
2016-04-17 16:00:01,32,0,0,0
2016-04-17 16:30:01,33,-0.000818049999999459,-0.00170099999999707,0
2016-04-17 17:00:01,34,0,0,0.5
2016-04-17 17:30:01,35,0,0,0
2016-04-17 18:00:01,36,-0.000780769999998654,-0.00306180000001177,0
2016-04-17 18:30:01,37,0,0,15
2016-04-17 19:00:01,38,0,0,14.5
2016-04-17 19:30:01,39,0,0,14
2016-04-17 20:00:01,40,0,0,13.5
2016-04-17 20:30:01,41,0,0,13
2016-04-17 21:00:01,42,0,0,12.5
2016-04-17 21:30:01,43,0,0,12
2016-04-17 22:00:01,44,0,0,11.5
2016-04-17 22:30:01,45,0,0,11
2016-04-17 23:00:01,46,0,0,10.5
2016-04-17 23:30:01,47,0,0,10
2016-04-18 00:00:01,0,0,0,9.5
2016-04-18 00:30:01,1,0,0,9
2016-04-18 01:00:01,2,0,0,8.5
2016-04-18 01:30:01,3,0,0,8
2016-04-18 02:00:01,4,0,0,7.5
2016-04-18 02:30:01,5,0,0,7
2016-04-18 03:00:01,6,0,0,6.5
2016-04-18 03:30:01,7,0,0,6
2016-04-18 04:00:01,8,0,0,5.5
2016-04-18 04:30:01,9,0,0,5
2016-04-18 05:00:01,10,0,0,4.5
2016-04-18 05:30:01,11,0,0,4
2016-04-18 06:00:01,12,0,0,3.5
2016-04-18 06:30:01,13,0,0,3
2016-04-18 07:00:01,14,0,0,2.5
2016-04-18 07:30:01,15,0,0,2
2016-04-18 08:00:01,16,0,0,1.5
2016-04-18 08:30:01,17,0,0,1
2016-04-18 09:00:01,18,0,0,0.5
2016-04-18 09:30:01,19,0,0,0
2016-04-18 10:00:01,20,0.000216670000000363,-9.17000000129065e-05,0
2016-04-18 10:30:01,21,0,0,2.5
2016-04-18 11:00:01,22,0,0,2
2016-04-18 11:30:01,23,0,0,1.5
2016-04-18 12:00:01,24,0,0,1
2016-04-18 12:30:01,25,0,0,0.5
2016-04-18 13:00:01,26,0,0,0
2016-04-18 13:30:01,27,0.000792140000001496,-0.000529599999993025,43.5
2016-04-18 14:00:01,28,0.000792140000001496,-0.000529599999993025,43
2016-04-18 14:30:01,29,0.000792140000001496,-0.000529599999993025,42.5
2016-04-18 15:00:01,30,0.000792140000001496,-0.000529599999993025,42
2016-04-18 15:30:01,31,0.000792140000001496,-0.000529599999993025,41.5
2016-04-18 16:00:01,32,0.000792140000001496,-0.000529599999993025,41
2016-04-18 16:30:01,33,0.000792140000001496,-0.000529599999993025,40.5
2016-04-18 17:00:01,34,0.000792140000001496,-0.000529599999993025,40
2016-04-18 17:30:01,35,0.000792140000001496,-0.000529599999993025,39.5
2016-04-18 18:00:01,36,0.000792140000001496,-0.000529599999993025,39
2016-04-18 18:30:01,37,0.000792140000001496,-0.000529599999993025,38.5
2016-04-18 19:00:01,38,0.000792140000001496,-0.000529599999993025,38
2016-04-18 19:30:01,39,0.000792140000001496,-0.000529599999993025,37.5
2016-04-18 20:00:01,40,0.000792140000001496,-0.000529599999993025,37
2016-04-18 20:30:01,41,0.000792140000001496,-0.000529599999993025,36.5
2016-04-18 21:00:01,42,0.000792140000001496,-0.000529599999993025,36
2016-04-18 21:30:01,43,0.000792140000001496,-0.000529599999993025,35.5
2016-04-18 22:00:01,44,0.000792140000001496,-0.000529599999993025,35
2016-04-18 22:30:01,45,0.000792140000001496,-0.000529599999993025,34.5
2016-04-18 23:00:01,46,0.000792140000001496,-0.000529599999993025,34
2016-04-18 23:30:01,47,0.000792140000001496,-0.000529599999993025,33.5
2016-04-19 00:00:01,0,0.000792140000001496,-0.000529599999993025,33
2016-04-19 00:30:01,1,0.000792140000001496,-0.000529599999993025,32.5
2016-04-19 01:00:01,2,0.000792140000001496,-0.000529599999993025,32
2016-04-19 01:30:01,3,0.000792140000001496,-0.000529599999993025,31.5
2016-04-19 02:00:01,4,0.000792140000001496,-0.000529599999993025,31
2016-04-19 02:30:01,5,0.000792140000001496,-0.000529599999993025,30.5
2016-04-19 03:00:01,6,0.000792140000001496,-0.000529599999993025,30
2016-04-19 03:30:01,7,0.000792140000001496,-0.000529599999993025,29.5
2016-04-19 04:00:01,8,0.000792140000001496,-0.000529599999993025,29
2016-04-19 04:30:01,9,0.000792140000001496,-0.000529599999993025,28.5
2016-04-19 05:00:01,10,0.000792140000001496,-0.000529599999993025,28
2016-04-19 05:30:01,11,0.000792140000001496,-0.000529599999993025,27.5
2016-04-19 06:00:01,12,0.000792140000001496,-0.000529599999993025,27
2016-04-19 06:30:01,13,0.000792140000001496,-0.000529599999993025,26.5
2016-04-19 07:00:01,14,0.000792140000001496,-0.000529599999993025,26
2016-04-19 07:30:01,15,0.000792140000001496,-0.000529599999993025,25.5
2016-04-19 08:00:01,16,0.000792140000001496,-0.000529599999993025,25
2016-04-19 08:30:01,17,0.000792140000001496,-0.000529599999993025,24.5
2016-04-19 09:00:01,18,0.000792140000001496,-0.000529599999993025,24
2016-04-19 09:30:01,19,0.000792140000001496,-0.000529599999993025,23.5
2016-04-19 10:00:01,20,0.000792140000001496,-0.000529599999993025,23
2016-04-19 10:30:01,21,0.000792140000001496,-0.000529599999993025,22.5
2016-04-19 11:00:01,22,0.000792140000001496,-0.000529599999993025,22
2016-04-19 11:30:01,23,0.000792140000001496,-0.000529599999993025,21.5
2016-04-19 12:00:01,24,0.000792140000001496,-0.000529599999993025,21
2016-04-19 12:30:01,25,0.000792140000001496,-0.000529599999993025,20.5
2016-04-19 13:00:01,26,0.000792140000001496,-0.000529599999993025,20
2016-04-19 13:30:01,27,0.000792140000001496,-0.000529599999993025,19.5
2016-04-19 14:00:01,28,0.000792140000001496,-0.000529599999993025,19
2016-04-19 14:30:01,29,0.000792140000001496,-0.000529599999993025,18.5
2016-04-19 15:00:01,30,0.000792140000001496,-0.000529599999993025,18
2016-04-19 15:30:01,31,0.000792140000001496,-0.000529599999993025,17.5
2016-04-19 16:00:01,32,0.000792140000001496,-0.000529599999993025,17
2016-04-19 16:30:01,33,0.000792140000001496,-0.000529599999993025,16.5
2016-04-19 17:00:01,34,0.000792140000001496,-0.000529599999993025,16
2016-04-19 17:30:01,35,0.000792140000001496,-0.000529599999993025,15.5
2016-04-19 18:00:01,36,0.000792140000001496,-0.000529599999993025,15
2016-04-19 18:30:01,37,0.000792140000001496,-0.000529599999993025,14.5
2016-04-19 19:00:01,38,0.000792140000001496,-0.000529599999993025,14
2016-04-19 19:30:01,39,0.000792140000001496,-0.000529599999993025,13.5
2016-04-19 20:00:01,40,0.000792140000001496,-0.000529599999993025,13
2016-04-19 20:30:01,41,0.000792140000001496,-0.000529599999993025,12.5
2016-04-19 21:00:01,42,0.000792140000001496,-0.000529599999993025,12
2016-04-19 21:30:01,43,0.000792140000001496,-0.000529599999993025,11.5
2016-04-19 22:00:01,44,0.000792140000001496,-0.000529599999993025,11
2016-04-19 22:30:01,45,0.000792140000001496,-0.000529599999993025,10.5
2016-04-19 23:00:01,46,0.000792140000001496,-0.000529599999993025,10
2016-04-19 23:30:01,47,0.000792140000001496,-0.000529599999993025,9.5
2016-04-20 00:00:01,0,0.000792140000001496,-0.000529599999993025,9
2016-04-20 00:30:01,1,0.000792140000001496,-0.000529599999993025,8.5
2016-04-20 01:00:01,2,0.000792140000001496,-0.000529599999993025,8
