"time","period","lat","lon","parking"
2016-04-19 11:00:01,22,0,0,1
2016-04-19 11:30:01,23,0,0,0.5
2016-04-19 12:00:01,24,0,0,0
2016-04-19 12:30:01,25,-0.00116046999999497,0.000468800000021474,0
2016-04-19 13:00:01,26,0,0,2.5
2016-04-19 13:30:01,27,0,0,2
2016-04-19 14:00:01,28,0,0,1.5
2016-04-19 14:30:01,29,0,0,1
2016-04-19 15:00:01,30,0,0,0.5
2016-04-19 15:30:01,31,0,0,0
2016-04-19 16:00:01,32,-8.54100000040603e-05,-0.00044950000000199,0
2016-04-19 16:30:01,33,0.000869469999997818,0.00419949999999858,0
2016-04-19 17:00:01,34,-0.00197458999999611,-0.00113740000000462,0
2016-04-19 17:30:01,35,0,0,0
2016-04-19 18:00:01,36,0.00148620000000221,0.000542999999993299,0
2016-04-19 18:30:01,37,0,0,13.5
2016-04-19 19:00:01,38,0,0,13
2016-04-19 19:30:01,39,0,0,12.5
2016-04-19 20:00:01,40,0,0,12
2016-04-19 20:30:01,41,0,0,11.5
2016-04-19 21:00:01,42,0,0,11
2016-04-19 21:30:01,43,0,0,10.5
2016-04-19 22:00:01,44,0,0,10
2016-04-19 22:30:01,45,0,0,9.5
2016-04-19 23:00:01,46,0,0,9
2016-04-19 23:30:01,47,0,0,8.5
2016-04-20 00:00:01,0,0,0,8
2016-04-20 00:30:01,1,0,0,7.5
2016-04-20 01:00:01,2,0,0,7
2016-04-20 01:30:01,3,0,0,6.5
2016-04-20 02:00:01,4,0,0,6
2016-04-20 02:30:01,5,0,0,5.5
2016-04-20 03:00:01,6,0,0,5
2016-04-20 03:30:01,7,0,0,4.5
2016-04-20 04:00:01,8,0,0,4
2016-04-20 04:30:01,9,0,0,3.5
2016-04-20 05:00:01,10,0,0,3
2016-04-20 05:30:01,11,0,0,2.5
2016-04-20 06:00:01,12,0,0,2
2016-04-20 06:30:01,13,0,0,1.5
2016-04-20 07:00:01,14,0,0,1
2016-04-20 07:30:01,15,0,0,0.5
2016-04-20 08:00:01,16,0,0,0
2016-04-20 08:30:01,17,-1.40300000026627e-05,-0.000483000000002676,0
2016-04-20 09:00:01,18,0,0,4
2016-04-20 09:30:01,19,0,0,3.5
2016-04-20 10:00:01,20,0,0,3
2016-04-20 10:30:01,21,0,0,2.5
2016-04-20 11:00:01,22,0,0,2
2016-04-20 11:30:01,23,0,0,1.5
2016-04-20 12:00:01,24,0,0,1
2016-04-20 12:30:01,25,0,0,0.5
2016-04-20 13:00:01,26,0,0,0
2016-04-20 13:30:01,27,-0.00207867999999678,0.00256939999999872,0
2016-04-20 14:00:01,28,0,0,1
2016-04-20 14:30:01,29,0,0,0.5
2016-04-20 15:00:01,30,0,0,0
2016-04-20 15:30:01,31,0.000971470000003194,0.000394099999994069,0
2016-04-20 16:00:01,32,-3.870000000461e-06,-1.80000000682412e-06,0
2016-04-20 16:30:01,33,0,0,1
2016-04-20 17:00:01,34,0,0,0.5
2016-04-20 17:30:01,35,0,0,0
2016-04-20 18:00:01,36,0.000194950000000915,0.00125680000002149,0
2016-04-20 18:30:01,37,0,0,1.5
2016-04-20 19:00:01,38,0,0,1
2016-04-20 19:30:01,39,0,0,0.5
2016-04-20 20:00:01,40,0,0,0
2016-04-20 20:30:01,41,0.00268692000000215,0.00308220000002279,0
2016-04-20 21:00:01,42,0,0,9.5
2016-04-20 21:30:01,43,0,0,9
2016-04-20 22:00:01,44,0,0,8.5
2016-04-20 22:30:01,45,0,0,8
2016-04-20 23:00:01,46,0,0,7.5
2016-04-20 23:30:01,47,0,0,7
2016-04-21 00:00:01,0,0,0,6.5
2016-04-21 00:30:01,1,0,0,6
2016-04-21 01:00:01,2,0,0,5.5
2016-04-21 01:30:01,3,0,0,5
2016-04-21 02:00:01,4,0,0,4.5
2016-04-21 02:30:01,5,0,0,4
2016-04-21 03:00:01,6,0,0,3.5
2016-04-21 03:30:01,7,0,0,3
2016-04-21 04:00:01,8,0,0,2.5
2016-04-21 04:30:01,9,0,0,2
2016-04-21 05:00:01,10,0,0,1.5
2016-04-21 05:30:01,11,0,0,1
2016-04-21 06:00:01,12,0,0,0.5
2016-04-21 06:30:01,13,0,0,0
2016-04-21 07:00:01,14,-0.00358245000000323,-0.00094590000000494,0
2016-04-21 07:30:01,15,0,0,5.5
2016-04-21 08:00:01,16,0,0,5
2016-04-21 08:30:01,17,0,0,4.5
2016-04-21 09:00:01,18,0,0,4
2016-04-21 09:30:01,19,0,0,3.5
2016-04-21 10:00:01,20,0,0,3
2016-04-21 10:30:01,21,0,0,2.5
2016-04-21 11:00:01,22,0,0,2
2016-04-21 11:30:01,23,0,0,1.5
2016-04-21 12:00:01,24,0,0,1
2016-04-21 12:30:01,25,0,0,0.5
2016-04-21 13:00:01,26,0,0,0
2016-04-21 13:30:01,27,7.67000000223561e-06,-2.99999999242573e-06,0
2016-04-21 14:00:01,28,0,0,1
2016-04-21 14:30:01,29,0,0,0.5
2016-04-21 15:00:01,30,0,0,0
2016-04-21 15:30:01,31,0.00178826000000498,-0.00239600000000451,0
2016-04-21 16:00:01,32,0.00360633999999749,-0.00532839999999624,0
2016-04-21 16:30:01,33,-0.000350810000000479,-0.000278200000025208,0
2016-04-21 17:00:01,34,0,0,1
2016-04-21 17:30:01,35,0,0,0.5
2016-04-21 18:00:01,36,0,0,0
2016-04-21 18:30:01,37,0.000645089999999016,0.00318849999999316,0
2016-04-21 19:00:01,38,0,0,11.5
2016-04-21 19:30:01,39,0,0,11
2016-04-21 20:00:01,40,0,0,10.5
2016-04-21 20:30:01,41,0,0,10
2016-04-21 21:00:01,42,0,0,9.5
2016-04-21 21:30:01,43,0,0,9
2016-04-21 22:00:01,44,0,0,8.5
2016-04-21 22:30:01,45,0,0,8
2016-04-21 23:00:01,46,0,0,7.5
2016-04-21 23:30:01,47,0,0,7
2016-04-22 00:00:01,0,0,0,6.5
2016-04-22 00:30:01,1,0,0,6
2016-04-22 01:00:01,2,0,0,5.5
2016-04-22 01:30:01,3,0,0,5
2016-04-22 02:00:01,4,0,0,4.5
2016-04-22 02:30:01,5,0,0,4
2016-04-22 03:00:01,6,0,0,3.5
2016-04-22 03:30:01,7,0,0,3
2016-04-22 04:00:01,8,0,0,2.5
2016-04-22 04:30:01,9,0,0,2
2016-04-22 05:00:01,10,0,0,1.5
2016-04-22 05:30:01,11,0,0,1
2016-04-22 06:00:01,12,0,0,0.5
2016-04-22 06:30:01,13,0,0,0
2016-04-22 07:00:01,14,0.00262395999999399,-0.00418220000000247,0
2016-04-22 07:30:01,15,0.00622867999999954,0.00595749999999384,0
2016-04-22 08:00:01,16,0.00459238000000539,-0.00259819999999422,0
2016-04-22 08:30:01,17,-0.00162024000000116,-0.0047758999999985,0
2016-04-22 09:00:01,18,8.48099999970486e-05,-0.00261150000000043,0
2016-04-22 09:30:01,19,-0.00019444000000135,0.000202800000010939,17
2016-04-22 10:00:01,20,-0.00019444000000135,0.000202800000010939,16.5
2016-04-22 10:30:01,21,-0.00019444000000135,0.000202800000010939,16
2016-04-22 11:00:01,22,-0.00019444000000135,0.000202800000010939,15.5
2016-04-22 11:30:01,23,-0.00019444000000135,0.000202800000010939,15
2016-04-22 12:00:01,24,-0.00019444000000135,0.000202800000010939,14.5
