"time","period","lat","lon","parking"
2016-04-22 00:00:01,0,0.00232705999999894,-0.0044838000000027,0
2016-04-22 00:30:01,1,0,0,7.5
2016-04-22 01:00:01,2,0,0,7
2016-04-22 01:30:01,3,0,0,6.5
2016-04-22 02:00:01,4,0,0,6
2016-04-22 02:30:01,5,0,0,5.5
2016-04-22 03:00:01,6,0,0,5
2016-04-22 03:30:01,7,0,0,4.5
2016-04-22 04:00:01,8,0,0,4
2016-04-22 04:30:01,9,0,0,3.5
2016-04-22 05:00:01,10,0,0,3
2016-04-22 05:30:01,11,0,0,2.5
2016-04-22 06:00:01,12,0,0,2
2016-04-22 06:30:01,13,0,0,1.5
2016-04-22 07:00:01,14,0,0,1
2016-04-22 07:30:01,15,0,0,0.5
2016-04-22 08:00:01,16,0,0,0
2016-04-22 08:30:01,17,0.000755519999998455,-0.000348199999990584,0
2016-04-22 09:00:01,18,0.000538370000001009,0.00160130000000436,0
2016-04-22 09:30:01,19,-0.00357118000000156,-0.00135249999999587,0
2016-04-22 10:00:01,20,0,0,2
2016-04-22 10:30:01,21,0,0,1.5
2016-04-22 11:00:01,22,0,0,1
2016-04-22 11:30:01,23,0,0,0.5
2016-04-22 12:00:01,24,0,0,0
2016-04-22 12:30:01,25,-0.00084982999999994,0.002830000000003,0
2016-04-22 13:00:01,26,0,0,0.5
2016-04-22 13:30:01,27,0,0,0
2016-04-22 14:00:01,28,0.00151930999999905,-0.000578699999991272,0
2016-04-22 14:30:01,29,1.02900000058526e-05,-2.99999996400402e-07,0
2016-04-22 15:00:01,30,0,0,0.5
2016-04-22 15:30:01,31,0,0,0
2016-04-22 16:00:01,32,-4.71199999978467e-05,0.000535099999993349,0
2016-04-22 16:30:01,33,0,0,0.5
2016-04-22 17:00:01,34,0,0,0
2016-04-22 17:30:01,35,-1.15000000278087e-06,4.89999999331303e-06,0
2016-04-22 18:00:01,36,0,0,0
2016-04-22 18:30:01,37,-0.0025454099999962,0.00155649999999241,0
2016-04-22 19:00:01,38,0,0,18.5
2016-04-22 19:30:01,39,0,0,18
2016-04-22 20:00:01,40,0,0,17.5
2016-04-22 20:30:01,41,0,0,17
2016-04-22 21:00:01,42,0,0,16.5
2016-04-22 21:30:01,43,0,0,16
2016-04-22 22:00:01,44,0,0,15.5
2016-04-22 22:30:01,45,0,0,15
2016-04-22 23:00:01,46,0,0,14.5
2016-04-22 23:30:01,47,0,0,14
2016-04-23 00:00:01,0,0,0,13.5
2016-04-23 00:30:01,1,0,0,13
2016-04-23 01:00:01,2,0,0,12.5
2016-04-23 01:30:01,3,0,0,12
2016-04-23 02:00:01,4,0,0,11.5
2016-04-23 02:30:01,5,0,0,11
2016-04-23 03:00:01,6,0,0,10.5
2016-04-23 03:30:01,7,0,0,10
2016-04-23 04:00:01,8,0,0,9.5
2016-04-23 04:30:01,9,0,0,9
2016-04-23 05:00:01,10,0,0,8.5
2016-04-23 05:30:01,11,0,0,8
2016-04-23 06:00:01,12,0,0,7.5
2016-04-23 06:30:01,13,0,0,7
2016-04-23 07:00:01,14,0,0,6.5
2016-04-23 07:30:01,15,0,0,6
2016-04-23 08:00:01,16,0,0,5.5
2016-04-23 08:30:01,17,0,0,5
2016-04-23 09:00:01,18,0,0,4.5
2016-04-23 09:30:01,19,0,0,4
2016-04-23 10:00:01,20,0,0,3.5
2016-04-23 10:30:01,21,0,0,3
2016-04-23 11:00:01,22,0,0,2.5
2016-04-23 11:30:01,23,0,0,2
2016-04-23 12:00:01,24,0,0,1.5
2016-04-23 12:30:01,25,0,0,1
2016-04-23 13:00:01,26,0,0,0.5
2016-04-23 13:30:01,27,0,0,0
2016-04-23 14:00:01,28,-0.00506254000000439,0.00253030000000365,0
2016-04-23 14:30:01,29,-0.00329948000000257,0.00891239999999982,0
2016-04-23 15:00:01,30,-0.00628317000000322,0.000848599999997646,0
2016-04-23 15:30:01,31,-0.00561348000000095,0.00670680000000345,0
2016-04-23 16:00:01,32,0,0,0
2016-04-23 16:30:01,33,-0.00279084999999668,0.00550920000000588,0
2016-04-23 17:00:01,34,-0.00648170999999564,-0.00132179999999948,0
2016-04-23 17:30:01,35,-0.0017848699999945,0.00145759999998063,0
2016-04-23 18:00:01,36,-0.000968789999994613,-0.000109900000012431,0
2016-04-23 18:30:01,37,0,0,1
2016-04-23 19:00:01,38,0,0,0.5
2016-04-23 19:30:01,39,0,0,0
2016-04-23 20:00:01,40,0.00380411999999808,0.000768699999980527,0
2016-04-23 20:30:01,41,0.00711865999999617,-0.0019280000000208,0
2016-04-23 21:00:01,42,0,0,0
2016-04-23 21:30:01,43,0.00135511000000577,-0.00918580000001157,0
2016-04-23 22:00:01,44,0.000914149999999836,-0.00895570000000134,0
2016-04-23 22:30:01,45,0,0,0
