"time","period","lat","lon","parking"
2016-04-22 21:00:01,42,0.00420581000000197,-0.00165730000000508,0
2016-04-22 21:30:01,43,-0.00241628999999932,-0.00391529999998852,0
2016-04-22 22:00:01,44,-0.00181666000000291,-0.00127969999999777,0
2016-04-22 22:30:01,45,0,0,0
2016-04-22 23:00:01,46,0.00101347999999746,0.00219549999999913,0
2016-04-22 23:30:01,47,0,0,0.5
2016-04-23 00:00:01,0,0,0,0
2016-04-23 00:30:01,1,0.00423225999999488,0.00925269999999046,0
2016-04-23 01:00:01,2,-0.00123813999999811,-0.000531200000011722,0
2016-04-23 01:30:01,3,-0.0032567599999993,-0.00584969999999885,0
2016-04-23 02:00:01,4,0,0,0
2016-04-23 02:30:01,5,-0.00164794000000512,0.00178249999999025,0
2016-04-23 03:00:01,6,0,0,7
2016-04-23 03:30:01,7,0,0,6.5
2016-04-23 04:00:01,8,0,0,6
2016-04-23 04:30:01,9,0,0,5.5
2016-04-23 05:00:01,10,0,0,5
2016-04-23 05:30:01,11,0,0,4.5
2016-04-23 06:00:01,12,0,0,4
2016-04-23 06:30:01,13,0,0,3.5
2016-04-23 07:00:01,14,0,0,3
2016-04-23 07:30:01,15,0,0,2.5
2016-04-23 08:00:01,16,0,0,2
2016-04-23 08:30:01,17,0,0,1.5
2016-04-23 09:00:01,18,0,0,1
2016-04-23 09:30:01,19,0,0,0.5
2016-04-23 10:00:01,20,0,0,0
2016-04-23 10:30:01,21,0.00653280999999595,-0.000680200000005016,0
2016-04-23 11:00:01,22,0,0,0.5
2016-04-23 11:30:01,23,0,0,0
2016-04-23 12:00:01,24,-0.00250707000000006,-0.00084959999998091,0
2016-04-23 12:30:01,25,0.00200767000000468,0.00137069999999539,0
2016-04-23 13:00:01,26,0.00326091000000162,-0.00182490000000257,0
2016-04-23 13:30:01,27,0,0,6.5
2016-04-23 14:00:01,28,0,0,6
2016-04-23 14:30:01,29,0,0,5.5
2016-04-23 15:00:01,30,0,0,5
2016-04-23 15:30:01,31,0,0,4.5
2016-04-23 16:00:01,32,0,0,4
2016-04-23 16:30:01,33,0,0,3.5
2016-04-23 17:00:01,34,0,0,3
2016-04-23 17:30:01,35,0,0,2.5
2016-04-23 18:00:01,36,0,0,2
2016-04-23 18:30:01,37,0,0,1.5
2016-04-23 19:00:01,38,0,0,1
2016-04-23 19:30:01,39,0,0,0.5
2016-04-23 20:00:01,40,0,0,0
2016-04-23 20:30:01,41,0.000333969999999795,7.60000000070704e-05,0
2016-04-23 21:00:01,42,-0.000425010000000725,-0.00507890000000089,0
2016-04-23 21:30:01,43,0,0,0.5
2016-04-23 22:00:01,44,0,0,0
2016-04-23 22:30:01,45,0.000900959999995621,0.000739500000008775,0
2016-04-23 23:00:01,46,4.33499999985543e-05,-0.00430860000000166,0
2016-04-23 23:30:01,47,0,0,0.5
2016-04-24 00:00:01,0,0,0,0
2016-04-24 00:30:01,1,-0.000886440000002153,0.0036337999999887,0
2016-04-24 01:00:01,2,-0.000275000000002024,6.78000000107204e-05,0
2016-04-24 01:30:01,3,0,0,6.5
2016-04-24 02:00:01,4,0,0,6
2016-04-24 02:30:01,5,0,0,5.5
2016-04-24 03:00:01,6,0,0,5
2016-04-24 03:30:01,7,0,0,4.5
2016-04-24 04:00:01,8,0,0,4
2016-04-24 04:30:01,9,0,0,3.5
2016-04-24 05:00:01,10,0,0,3
2016-04-24 05:30:01,11,0,0,2.5
2016-04-24 06:00:01,12,0,0,2
2016-04-24 06:30:01,13,0,0,1.5
2016-04-24 07:00:01,14,0,0,1
2016-04-24 07:30:01,15,0,0,0.5
2016-04-24 08:00:01,16,0,0,0
2016-04-24 08:30:01,17,-0.000517580000000351,-0.000210100000003877,0
2016-04-24 09:00:01,18,0,0,8.5
2016-04-24 09:30:01,19,0,0,8
2016-04-24 10:00:01,20,0,0,7.5
2016-04-24 10:30:01,21,0,0,7
2016-04-24 11:00:01,22,0,0,6.5
2016-04-24 11:30:01,23,0,0,6
2016-04-24 12:00:01,24,0,0,5.5
2016-04-24 12:30:01,25,0,0,5
2016-04-24 13:00:01,26,0,0,4.5
2016-04-24 13:30:01,27,0,0,4
2016-04-24 14:00:01,28,0,0,3.5
2016-04-24 14:30:01,29,0,0,3
2016-04-24 15:00:01,30,0,0,2.5
2016-04-24 15:30:01,31,0,0,2
2016-04-24 16:00:01,32,0,0,1.5
2016-04-24 16:30:01,33,0,0,1
2016-04-24 17:00:01,34,0,0,0.5
2016-04-24 17:30:01,35,0,0,0
2016-04-24 18:00:01,36,-0.000813680000000261,0.00338329999999587,0
2016-04-24 18:30:01,37,0,0,1.5
2016-04-24 19:00:01,38,0,0,1
2016-04-24 19:30:01,39,0,0,0.5
2016-04-24 20:00:01,40,0,0,0
2016-04-24 20:30:01,41,0.00121081000000345,-0.000742400000007137,0
2016-04-24 21:00:01,42,0.0045521900000054,-0.00390880000000493,0
2016-04-24 21:30:01,43,0,0,2
2016-04-24 22:00:01,44,0,0,1.5
2016-04-24 22:30:01,45,0,0,1
2016-04-24 23:00:01,46,0,0,0.5
2016-04-24 23:30:01,47,0,0,0
2016-04-25 00:00:01,0,-0.00272282000000246,0.00233689999998887,0
2016-04-25 00:30:01,1,0.00208020999999547,0.00601600000001667,0
