"c_0","c_2","c_3","c_4"
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:36:38,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:37:08,-0.00018054999999606,-0.000402799999989156
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:37:38,2.50000000008299e-05,-9.71999999990203e-05
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:38:08,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:38:38,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:39:08,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:39:38,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:40:08,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:40:38,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:41:08,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:41:38,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:42:08,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:42:38,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:43:08,-3.38500000012232e-05,-0.000141400000003955
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:43:38,0.00108496000000002,-7.65999999998712e-05
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:44:08,3.40799999989372e-05,1.2299999994525e-05
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:44:38,0,0
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:45:08,0.000507460000001458,-0.000895399999990332
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:45:38,9.34099999980731e-05,-0.000559000000009746
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:46:08,1.50400000009654e-05,-0.000132699999994657
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:46:38,0.000177950000001204,-0.00140489999999716
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:47:08,0.00499204999999847,0.00072439999999574
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:47:38,0.00567565000000059,0.000929299999995692
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:48:08,0.00477283000000028,0.000836700000007795
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:48:38,0.00490717999999646,0.0019295000000028
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:49:08,0.00227751000000609,0.00558799999998882
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:49:38,0.000521109999993996,0.00691679999999906
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:50:08,0.00595125000000252,0.000618100000011168
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:50:38,0.00713498000000357,-0.00342249999999922
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:51:08,0.00580208999999599,-0.00561640000000807
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:51:38,0.00112714000000125,-0.00670329999999808
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:52:08,0.00599271000000101,-0.00119150000000445
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:52:38,0.00728363999999715,0.00162950000000706
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:53:08,0.00684985000000182,0.00327719999999943
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:53:38,0.00741474000000153,0.00140519999999356
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:54:08,0.00286356999999526,-0.00699589999999262
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:54:38,0.00174224000000578,-0.00670279999999934
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:55:08,-0.002758060000005,-0.00572859999999764
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:55:38,0.00139787000000524,-0.00476079999999968
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:56:08,0.00031839999999761,-0.0015504000000135
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:56:38,0.000199670000000651,-0.00213749999998924
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:57:08,0.000735819999995613,-0.00111440000000584
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:57:38,0.00115276000000364,-0.00252469999999505
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:58:08,0.000991829999996696,-0.00230220000000259
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:58:38,0.000843559999999854,-0.00295560000000705
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:59:08,0.000310120000001746,-0.00220159999999225
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 06:59:38,0.000716170000004013,-0.00215070000000139
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:00:08,0.00105709999999704,-0.00314470000000711
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:00:38,0.000456350000000327,-0.00316289999999242
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:01:08,-0.000215779999997778,-0.00219880000000217
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:01:38,-0.000273960000001239,-0.00242969999999332
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:02:08,-0.000544529999999099,-0.00453670000000272
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:02:38,-0.000741640000001098,-0.00478599999999574
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:03:08,-0.00106902000000275,-0.00511780000000783
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:03:38,-0.00375693999999527,-0.00515219999999772
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:04:08,-0.00451183000000555,-0.00416789999999878
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:04:38,-0.00301645999999778,-0.00529360000000167
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:05:08,0.000452959999996949,-0.00625279999999862
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:05:38,-0.00161983999999649,-0.0057376999999974
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:06:08,-0.00235276000000084,-0.00335750000000701
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:06:38,-8.20699999977137e-05,-0.000250999999991564
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:07:08,-5.85200000031705e-05,-0.000182700000010527
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:07:38,-0.000574319999998352,-0.00184799999999541
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:08:08,-1.41000000297709e-06,-4.30000000051223e-06
"27b8d00c1ae34a983749631e6c615a08",2016-04-18 07:08:38,0,0
