"c_0","c_2","c_3","c_4"
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:01:14,0,0
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:01:44,-0.000102779999998859,-0.0002443999999997
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:02:14,-0.000141669999997873,-0.000144400000010592
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:02:44,-3.61100000034753e-05,0.000180499999999029
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:03:14,-0.000113880000000677,0.000152800000009279
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:03:44,-4.1670000001659e-05,-0.000205600000001027
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:04:14,-0.000275289999997597,-8.01999999993086e-05
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:04:44,0.000705170000003363,-1.78000000090606e-05
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:05:14,0.00143656999999564,0.0033433000000116
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:05:44,0.000465959999999654,0.001345299999997
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:06:14,0,0
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:06:44,5.14800000033233e-05,0.000150500000003717
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:07:14,0.00145644999999917,0.00420149999999353
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:07:44,0.000189819999995677,0.000520800000003874
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:08:14,0.00147553000000045,-0.000344900000001758
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:08:44,0.00361136000000073,-0.00199380000000815
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:09:14,0.00214568000000526,-0.000207299999999577
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:09:44,0,0
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:10:14,0,0
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:10:44,0.000355899999995302,7.37000000015087e-05
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:11:14,0.000918859999998745,0.000125800000006393
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:11:44,0.00114137999999997,0.000213000000002239
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:12:14,0.00111964999999969,0.000288400000002298
"8d2ca43ded4b45a7ebc2393af55c6066",2016-04-13 19:12:44,0.000484490000005167,0.000133399999995731
