"c_0","c_2","c_3","c_4"
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:33:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:34:11,-0.000422219999997253,-0.000283400000000711
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:34:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:35:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:35:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:36:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:36:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:37:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:37:41,-0.000604370000004906,-0.00164380000001074
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:38:11,0.00145856000000322,-0.000718699999993078
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:38:41,0.000381259999997496,0.000779700000009598
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:39:11,-2.80000001851022e-07,-2.30000000556174e-06
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:39:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:40:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:40:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:41:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:41:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:42:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:42:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:43:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:43:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:44:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:44:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:45:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:45:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:46:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:46:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:47:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:47:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:48:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:48:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:49:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:49:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:50:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:50:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:51:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:51:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:52:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:52:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:53:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:53:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:54:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:54:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:55:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:55:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:56:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:56:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:57:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:57:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:58:11,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:58:41,0,0
"a3fed2e626b3bba92064a038e893259b",2016-04-17 16:59:11,0,0
