"c_0","c_2","c_3","c_4"
"ac67748cdfb42803da872962f9e5209e",2016-04-21 23:54:35,0,0
"ac67748cdfb42803da872962f9e5209e",2016-04-21 23:55:05,0.000108339999997042,-4.71999999973605e-05
"ac67748cdfb42803da872962f9e5209e",2016-04-21 23:55:35,0.000740079999999921,-0.00168250000000114
"ac67748cdfb42803da872962f9e5209e",2016-04-21 23:56:05,0.0019571400000018,-0.00359050000000138
"ac67748cdfb42803da872962f9e5209e",2016-04-21 23:56:35,0.000315419999999733,-0.000584199999991597
"ac67748cdfb42803da872962f9e5209e",2016-04-21 23:57:05,0,0
"ac67748cdfb42803da872962f9e5209e",2016-04-21 23:57:35,0,0
"ac67748cdfb42803da872962f9e5209e",2016-04-21 23:58:05,0.00012583000000177,-0.0002246000000099
"ac67748cdfb42803da872962f9e5209e",2016-04-21 23:58:35,0.00237684999999743,-0.00400739999999189
"ac67748cdfb42803da872962f9e5209e",2016-04-21 23:59:05,0.00215382000000375,-0.0063430000000011
"ac67748cdfb42803da872962f9e5209e",2016-04-21 23:59:35,0.00232705999999894,-0.0044838000000027
"ac67748cdfb42803da872962f9e5209e",2016-04-22 00:00:05,4.10999999900241e-06,-3.5000000053742e-06
"ac67748cdfb42803da872962f9e5209e",2016-04-22 00:00:35,0.000132260000000883,-0.000113799999994058
"ac67748cdfb42803da872962f9e5209e",2016-04-22 00:01:05,0.000993909999998266,-0.000643800000005967
"ac67748cdfb42803da872962f9e5209e",2016-04-22 00:01:35,0.00453578999999849,-0.0024408999999963
"ac67748cdfb42803da872962f9e5209e",2016-04-22 00:02:05,0.00386450999999965,0.000786200000007398
"ac67748cdfb42803da872962f9e5209e",2016-04-22 00:02:35,0.00168891999999943,-0.00447490000000528
"ac67748cdfb42803da872962f9e5209e",2016-04-22 00:03:05,0.00180873000000048,-0.00628489999999715
"ac67748cdfb42803da872962f9e5209e",2016-04-22 00:03:35,0.00208040000000409,-0.00333870000000047
"ac67748cdfb42803da872962f9e5209e",2016-04-22 00:04:05,2.98999999870375e-06,-3.80000000177461e-06
"ac67748cdfb42803da872962f9e5209e",2016-04-22 00:04:35,-6.24199999990083e-05,-0.00238709999999287
