"c_0","c_2","c_3","c_4"
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:31:54,0,0
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:32:24,0.000212760000003698,0.000390500000008842
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:32:54,0.00083820999999773,0.00154739999999265
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:33:24,9.8299999962137e-06,1.77000000007865e-05
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:33:54,0,0
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:34:24,-0.000472189999996431,-0.00133350000000121
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:34:54,-0.000501550000002737,-0.000928899999991018
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:35:24,-0.000281519999994373,-0.000521400000010885
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:35:54,-0.00133356000000617,-0.00252569999999253
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:36:24,-0.000366369999994731,-0.000672300000005066
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:36:54,-0.00139276000000166,-0.00270929999999225
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:37:24,-0.00167794000000043,-0.00316090000001168
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:37:54,-0.00180698999999862,-0.00342789999999127
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:38:24,-0.000337309999999036,-0.000688900000000103
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:38:54,-0.000826100000004715,-0.0012118000000072
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:39:24,-0.000894339999994997,-0.00240709999999922
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:39:54,9.67499999973143e-05,-0.00101349999999911
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:40:24,8.94100000010667e-05,-0.000851299999993671
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:40:54,0.00046196999999637,-0.00449430000000461
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:41:24,0.000432050000000572,-0.00141849999999977
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:41:54,0.00135895000000374,-0.0039986999999968
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:42:24,-0.000105500000003644,-0.00134719999999788
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:42:54,-0.00238523999999529,-0.00234290000000215
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:43:24,-7.37200000031635e-05,-0.00471290000000124
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:43:54,-0.000762129999998251,0.00170419999999183
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:44:24,-0.00274036000000422,-0.000121999999990408
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:44:54,-0.00036283999999398,-2.03999999968119e-05
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:45:24,-0.00348118000000142,-0.00227160000000026
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:45:54,-0.00111524000000429,-0.00126649999999984
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:46:24,-0.0006622299999961,-0.000882500000003006
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:46:54,-0.000683479999999292,-0.00219990000000791
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:47:24,-0.000695580000005691,-0.00210899999999015
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:47:54,-0.00122632999999439,-0.00236160000000041
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:48:24,-0.000253290000003403,-0.000526600000000599
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:48:54,-0.000571579999999017,-0.00124920000000373
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:49:24,-0.00129411999999718,-0.00294200000000444
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:49:54,-0.00236774000000395,-0.00425469999998995
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:50:24,-0.000523719999996786,-0.000465500000004226
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:50:54,-0.00216414000000498,0.000465000000005489
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:51:24,-0.00316166999999723,0.00042409999998938
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:51:54,-8.50699999972448e-05,4.50000000284945e-06
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:52:24,-0.00265721000000241,7.87999999971589e-05
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:52:54,-0.000861380000003464,3.41000000076974e-05
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:53:24,0.00016944000000052,0.000130900000002043
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:53:54,-7.64899999978752e-05,0.00104679999999746
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 12:54:24,0,0
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 13:20:08,0,0
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 13:20:38,-3.7970000001053e-05,5.89999999078827e-06
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 13:21:08,-9.9330000004727e-05,-6.4899999998147e-05
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 13:21:38,0.00126554000000567,-0.00107880000000193
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 13:22:08,0.00385192999999617,-0.00016839999999263
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 13:22:38,0.00279205999999732,-0.000465399999995952
"bea69af15361cbfc902cbfde40f1a51d",2016-04-18 13:23:08,0.000630940000000635,-0.000120899999998869
