"c_0","c_2","c_3","c_4"
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:38:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:39:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:39:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:40:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:40:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:41:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:41:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:42:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:42:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:43:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:43:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:44:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:44:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:45:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:45:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:46:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:46:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:47:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:47:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:48:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:48:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:49:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:49:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:50:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:50:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:51:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:51:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:52:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:52:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:53:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:53:50,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:54:20,0,0
"d32417e60f1cd8832cb23b0ad11a1a6c",2016-04-17 00:54:50,0,0
